Region,Location,Date,Time first note,Duration (h),Time last note,Num. INIs,
ONA,Azores,31/01/2020,18:18:24,1.5,15:31:57,114,
ONA,Azores,03/02/2020,17:18:24,2.7,16:40:46,64,
ONA,Azores,05/02/2020,14:00:28,4.3,18:18:50,297,
ONA,Azores,13/02/2020,14:26:22,0.7,14:39:11,31,
ONA,Azores,22/02/2020,17:33:17,2.1,16:07:04,25,
ONA,Azores,27/02/2020,10:32:57,1,9:00:29,158,
ONA,Azores,11/03/2020,12:57:13,0.4,8:22:54,47,
ONA,Azores,17/03/2020,9:42:11,0.9,8:52:57,59,
ONA,Azores,21/03/2020,8:54:30,0.4,8:25:12,62,
ONA,Azores,06/01/2006,0:00:50,0.9,0:54:51,161,
ONA,Azores,10/01/2007,0:19:26,0.2,0:13:01,41,
ONA,Azores,31/01/2007,2:01:23,0.6,0:34:19,94,
ONA,Azores,15/01/2008,3:10:21,1.4,1:22:22,177,
ONA,Azores,20/01/2008,10:02:44,0.5,0:32:32,100,
ONA,CE,01/10/2002,14:22:49,0.8,15:12:20,178,
ONA,CE,15/10/2002,2:44:58,0.7,3:28:34,119,
ONA,CE,30/10/2002,12:47:58,1.1,12:52:14,148,
ONA,CE,02/11/2002,1:16:26,1.4,3:24:04,263,
ONA,CE,11/11/2002,9:06:21,0.7,10:13:57,135,
ONA,CE,24/11/2002,6:12:16,0.5,6:43:28,122,
ONA,CE,30/11/2002,18:43:54,1,20:45:48,81,
ONA,CE,05/12/2002,4:40:30,0.7,5:21:19,114,
ONA,CE,12/12/2002,20:42:25,0.8,21:56:20,188,
ONA,CE,30/12/2002,23:05:43,0.9,0:16:09,202,
ONA,CE,10/01/2003,16:55:16,0.7,17:31:31,82,
ONA,CE,15/01/2003,18:53:08,1,20:04:10,136,
ONA,CE,24/01/2003,16:12:18,1.2,18:05:56,175,
ONA,CE,28/01/2003,14:18:49,0.7,14:48:10,69,
ONA,CE,02/02/2003,21:23:17,1,23:20:46,130,
ONA,CE,13/02/2003,22:29:48,0.6,23:03:10,132,
ONA,CE,05/03/2003,8:09:44,0.5,8:07:16,72,
ONA,CE,10/03/2003,23:12:43,0.6,23:26:32,76,
ONA,CE,17/03/2003,2:18:29,0.7,3:05:26,143,
ONA,CE,30/03/2003,18:45:42,1.6,21:22:33,252,
ONA,CW,09/10/2002,16:55:02,1.1,18:15:07,59,
ONA,CW,17/10/2002,20:34:41,0.9,22:10:08,135,
ONA,CW,22/10/2002,2:15:59,0.5,2:40:58,65,
ONA,CW,30/10/2002,7:53:34,1,9:20:25,77,
ONA,CW,02/11/2002,12:10:47,1.1,13:18:22,191,
ONA,CW,16/11/2002,8:33:31,1.5,10:44:56,231,
ONA,CW,25/11/2002,9:03:38,1.2,11:15:50,160,
ONA,CW,30/11/2002,13:38:45,1.1,15:23:23,164,
ONA,CW,05/12/2002,3:28:16,0.8,4:57:34,145,
ONA,CW,11/12/2002,18:35:40,0.7,18:59:59,85,
ONA,CW,14/12/2002,1:40:58,0.7,1:21:37,94,
ONA,CW,23/12/2002,10:54:37,0.5,11:33:23,72,
ONA,CW,05/01/2003,7:15:34,1.3,9:02:57,147,
ONA,CW,07/01/2003,19:25:29,0.5,19:35:22,83,
ONA,CW,16/01/2003,12:28:14,0.7,13:33:28,132,
ONA,CW,28/01/2003,20:13:41,0.9,21:11:44,150,
ONA,CW,05/02/2003,1:56:59,0.9,3:01:54,217,
ONA,CW,08/02/2003,20:59:38,1.1,22:27:42,134,
ONA,CW,18/02/2003,18:02:26,0.7,19:10:22,64,
ONA,CW,22/02/2003,17:52:41,0.6,18:16:51,39,
ONA,CW,04/03/2003,0:09:24,1.1,2:15:40,100,
ONA,CW,11/03/2003,3:49:06,1.3,5:45:56,82,
ONA,CW,16/03/2003,5:11:23,1.2,7:16:00,174,
ONA,CW,30/03/2003,9:23:29,1.3,21:04:13,130,
ONA,NE,01/10/2002,11:22:31,1,12:40:50,185,
ONA,NE,25/10/2002,6:32:04,0.6,7:28:55,84,
ONA,NE,29/10/2002,1:06:16,1.2,3:18:43,232,
ONA,NE,31/10/2002,23:14:48,0.6,22:39:28,68,
ONA,NE,10/11/2002,17:16:34,1.8,19:57:18,63,
ONA,NE,13/11/2002,3:35:21,1.1,5:34:45,197,
ONA,NE,20/11/2002,20:09:41,1.1,22:00:09,160,
ONA,NE,28/11/2002,8:56:52,0.3,9:01:29,44,
ONA,NE,01/12/2002,23:41:54,0.3,23:19:36,66,
ONA,NE,02/12/2002,1:00:50,0.6,0:35:27,123,
ONA,NE,05/12/2002,5:41:00,1.1,7:00:16,177,
ONA,NE,19/12/2002,9:22:09,0.9,10:30:23,195,
ONA,NE,03/01/2003,15:05:09,0.6,15:35:22,127,
ONA,NE,07/01/2003,19:04:42,0.7,19:53:59,74,
ONA,NE,14/01/2003,6:10:24,0.8,7:10:54,104,
ONA,NE,23/01/2003,21:04:45,1.4,22:55:28,117,
ONA,NE,04/02/2003,6:36:11,1.2,8:49:23,125,
ONA,NE,07/02/2003,17:43:43,0.4,17:37:08,74,
ONA,NE,12/02/2003,5:50:26,0.5,6:33:57,80,
ONA,NE,23/02/2003,17:18:53,1.1,18:53:22,126,
ONA,NE,04/03/2003,22:25:53,0.5,21:44:32,37,
ONA,NE,18/03/2003,9:29:14,0.6,10:14:42,63,
ONA,NE,26/03/2003,12:23:24,1,13:49:26,129,
ONA,NW,06/10/2002,10:56:28,0.8,11:41:28,78,
ONA,NW,12/10/2002,9:35:30,0.3,10:02:41,34,
ONA,NW,17/10/2002,13:54:31,0.6,14:29:44,51,
ONA,NW,28/10/2002,13:57:11,0.9,14:45:35,175,
ONA,NW,10/11/2002,3:10:00,1.2,4:59:52,256,
ONA,NW,19/11/2002,9:30:01,1.1,11:13:37,138,
ONA,NW,23/11/2002,15:21:34,1.6,17:38:06,112,
ONA,NW,04/12/2002,5:05:30,0.8,6:30:32,137,
ONA,NW,08/12/2002,18:32:06,1.2,20:23:15,210,
ONA,NW,15/12/2002,21:04:34,0.7,22:02:02,115,
ONA,NW,31/12/2002,9:09:51,0.8,9:56:04,160,
ONA,NW,02/01/2003,7:05:27,0.6,7:21:37,86,
ONA,NW,04/01/2003,6:50:32,0.5,6:49:28,45,
ONA,NW,18/01/2003,11:51:42,1,12:51:28,53,
ONA,NW,25/01/2003,13:22:49,0.7,14:41:17,26,
ONA,NW,08/02/2003,14:36:13,0.6,15:24:47,43,
ONA,NW,12/02/2003,20:09:53,0.6,21:21:18,107,
ONA,NW,21/02/2003,2:22:00,1.1,3:52:43,217,
ONA,NW,24/02/2003,13:13:36,0.7,14:04:32,105,
ONA,NW,02/03/2003,3:21:22,0.6,4:07:36,44,
ONA,NW,10/03/2003,16:01:53,1.3,18:30:52,192,
ONA,NW,14/03/2003,12:47:11,1.3,14:41:01,170,
ONA,NW,29/03/2003,21:23:36,1.5,23:42:46,200,
ONA,SE,11/02/1999,18:07:56,3.1,22:27:52,160,
ONA,SE,19/02/1999,10:34:48,0.8,11:11:25,95,
ONA,SE,21/02/1999,21:37:37,0.7,22:17:35,90,
ONA,SE,26/02/1999,2:46:33,0.9,3:30:33,67,
ONA,SE,02/03/1999,16:15:48,0.5,16:43:18,56,
ONA,SE,08/03/1999,8:16:17,0.6,8:28:36,58,
ONA,SE,11/03/1999,4:39:43,0.9,6:16:11,81,
ONA,SE,13/03/1999,6:35:12,1,8:02:06,72,
ONA,SE,21/10/1999,10:57:16,2,14:12:43,304,
ONA,SE,23/10/1999,19:29:29,1.5,22:23:55,196,
ONA,SE,27/10/1999,17:52:25,1.9,21:34:26,179,
ONA,SE,29/10/1999,13:39:18,1.1,14:53:01,141,
ONA,SE,05/11/1999,12:21:22,1.6,14:54:36,160,
ONA,SE,08/11/1999,4:54:17,1,6:32:14,84,
ONA,SE,26/11/1999,7:32:38,0.9,7:34:18,116,
ONA,SE,29/11/1999,17:31:03,0.9,18:34:57,106,
ONA,SE,09/12/1999,1:09:44,1.4,3:35:07,186,
ONA,SE,12/12/1999,21:41:52,1.8,0:43:46,267,
ONA,SE,14/12/1999,1:17:38,0.8,2:06:54,84,
ONA,SE,30/12/1999,1:21:14,2,4:42:51,220,
ONA,SE,14/01/2000,3:55:25,1.8,7:01:45,257,
ONA,SE,17/01/2000,10:35:13,0.8,11:45:44,105,
ONA,SE,22/01/2000,2:57:14,0.7,3:31:19,93,
ONA,SE,28/01/2000,11:43:51,1.8,14:21:37,263,
ONA,SE,06/02/2000,3:58:02,0.7,4:39:09,94,
ONA,SE,11/02/2000,3:56:33,1.1,5:11:42,135,
ONA,SE,20/02/2000,8:58:55,1.2,10:30:05,147,
ONA,SE,23/02/2000,16:20:59,0.8,17:08:50,186,
ONA,SE,01/03/2000,18:08:09,1,19:54:26,123,
ONA,SE,05/03/2000,11:25:23,1,12:24:17,109,
ONA,SE,08/03/2000,16:55:21,1.5,18:53:16,215,
ONA,SE,17/03/2000,5:50:54,0.9,7:05:52,44,
ONA,SE,22/10/2000,20:33:20,1.5,22:54:09,216,
ONA,SE,30/10/2000,20:00:14,0.9,20:50:28,215,
ONA,SE,06/11/2000,14:58:29,1.2,16:28:42,143,
ONA,SE,20/11/2000,6:35:45,0.9,7:43:29,131,
ONA,SE,23/11/2000,2:24:10,0.6,2:51:05,82,
ONA,SE,28/11/2000,1:07:35,0.3,0:39:21,37,
ONA,SE,01/12/2000,1:52:10,1.5,4:37:30,125,
ONA,SE,04/12/2000,11:46:04,2.3,15:23:53,149,
ONA,SE,21/12/2000,10:51:49,0.6,11:17:36,106,
ONA,SE,30/12/2000,16:53:29,2.3,21:25:40,219,
ONA,SE,05/01/2001,10:05:04,1.5,12:07:07,224,
ONA,SE,07/01/2001,22:17:29,0.6,23:23:43,66,
ONA,SE,23/01/2001,14:28:30,0.9,15:42:06,87,
ONA,SE,25/01/2001,1:00:00,0.6,1:55:05,67,
ONA,SE,07/02/2001,1:29:36,1.9,4:15:16,259,
ONA,SE,14/02/2001,13:40:28,2.3,17:47:44,82,
ONA,SE,16/02/2001,9:04:25,1.2,10:46:44,109,
ONA,SE,20/02/2001,19:58:27,0.7,20:55:39,93,
ONA,SE,03/03/2001,15:40:22,1.3,17:33:32,149,
ONA,SE,18/03/2001,2:20:39,0.6,3:30:20,87,
ONA,SE,26/03/2001,14:49:10,1.2,16:54:23,64,
ONA,SE,29/03/2001,18:07:12,1.9,21:22:00,119,
ONA,SE,23/10/2002,7:01:51,1.2,7:29:03,160,
ONA,SE,12/11/2002,11:05:57,0.6,12:13:35,97,
ONA,SE,17/11/2002,18:51:34,1.4,21:14:06,205,
ONA,SE,19/11/2002,22:59:35,1,0:25:55,132,
ONA,SE,08/12/2002,6:09:09,1.2,8:20:28,259,
ONA,SE,14/12/2002,9:22:20,0.7,10:40:21,113,
ONA,SE,26/12/2002,20:28:52,0.7,21:34:33,107,
ONA,SE,28/12/2002,0:12:38,2.2,4:04:43,269,
ONA,SE,17/01/2003,9:03:41,1,10:34:41,198,
ONA,SE,19/01/2003,0:10:52,0.8,0:59:00,102,
ONA,SE,23/01/2003,18:13:06,0.8,19:28:02,136,
ONA,SE,26/01/2003,19:36:12,1,20:35:23,123,
ONA,SE,06/02/2003,6:32:37,1.1,8:23:36,201,
ONA,SE,09/02/2003,10:02:13,1.3,12:08:57,182,
ONA,SE,15/02/2003,0:33:25,1.4,3:02:53,231,
ONA,SE,22/02/2003,22:06:43,0.9,23:00:09,82,
ONA,SE,02/03/2003,6:29:24,1.3,8:09:48,77,
ONA,SE,07/03/2003,3:23:16,1.1,5:26:12,104,
ONA,SE,19/03/2003,5:07:42,0.5,6:11:47,63,
ONA,SE,28/03/2003,8:47:19,0.5,9:32:34,70,
ONA,SE,09/10/2004,1:43:32,1,3:35:29,134,
ONA,SE,03/11/2004,11:08:09,1.9,14:01:06,222,
ONA,SE,12/11/2004,5:02:26,1.5,7:18:22,222,
ONA,SE,20/11/2004,7:29:12,1.4,9:42:35,299,
ONA,SE,29/11/2004,19:57:07,1.1,21:25:15,141,
ONA,SE,02/12/2004,22:25:35,0.8,0:01:21,123,
ONA,SE,10/12/2004,1:50:56,0.5,2:25:25,85,
ONA,SE,15/12/2004,5:21:46,1.5,7:38:14,253,
ONA,SE,25/12/2004,6:37:27,0.8,7:59:15,105,
ONA,SE,01/01/2005,16:58:13,1.4,19:01:15,131,
ONA,SE,11/01/2005,21:34:30,0.8,23:05:44,151,
ONA,SE,22/01/2005,16:06:17,0.9,17:29:02,124,
ONA,SE,28/01/2005,2:29:41,0.7,3:28:12,97,
ONA,SE,08/02/2005,20:44:24,0.6,20:59:54,121,
ONA,SE,14/02/2005,4:24:32,0.9,5:27:24,84,
ONA,SE,26/02/2005,4:32:40,0.4,5:14:31,74,
ONA,SE,28/02/2005,21:16:14,1.4,23:08:50,170,
ONA,SE,13/03/2005,12:18:53,0.5,13:10:57,66,
ONA,SE,24/03/2005,0:37:47,0.7,1:00:29,129,
ONA,SE,28/03/2005,11:29:55,0.3,10:29:17,32,
ONA,SW,24/12/2002,12:55:30,0.7,13:54:56,40,
ONA,SW,01/01/2003,23:17:44,0.6,0:14:55,58,
ONA,SW,04/01/2003,23:16:35,0.7,23:50:41,95,
ONA,SW,09/01/2003,15:59:42,2.1,20:07:45,280,
ONA,SW,01/02/2003,5:51:35,1.4,7:53:03,129,
ONA,SW,08/02/2003,20:11:15,1.3,21:52:09,218,
ONA,SW,16/02/2003,9:36:04,2,12:52:25,242,
ONA,SW,05/03/2003,3:14:01,1.8,5:58:13,228,
ONA,SW,15/03/2003,1:54:57,0.7,2:55:15,84,
ONA,SW,20/03/2003,6:43:26,0.4,7:00:45,50,
ONA,SW,29/03/2003,21:24:21,1.2,23:37:11,85,
