Sound	PeakF	HighF	LowF	Range	StartF	EndF	Trend	Inflec	PRR	Dur	BW
P.AGR(H)	258.4	432.3	162.7	2.657037492	209	404	0.517326733	2	0	1.86	269.6
MODGR	409.1	578.4	230.1	2.5136897	283	546	0.518315018	6	0	1.914	348.4
AC(H)(S)	775.2	907.1	657.3	1.380039556	677	887	0.7632469	0	0	0.353	249.8
AC(H)	969	1329.3	591.6	2.246957404	638	1295	0.492664093	0	0	1.697	737.7
AC.AW	1292	1775.5	1031.9	1.720612462	1088	1738	0.626006904	0	0	1.032	743.7
AM(P)	409.1	492.7	139.4	3.534433286	186	325	0.572307692	1	0	0.36	353.2
AC(H)(S)	753.7	883.1	632.1	1.397089068	669	874	0.765446224	0	0	0.288	251
UC(S).MODC(H)	1270.5	1775.5	1096.9	1.618652566	1106	1506	0.73439575	3	0	1.872	678.6
UC(S).W	1227.4	1468.8	743.7	1.974989915	790	1413	0.559094126	1	0	1.785	725.1
UC(S).C(H)	1916.5	1989.3	1264.2	1.573564309	1292	1934	0.668045502	2	0	1.334	725.1
AC(H)(S)	818.3	887.4	736.2	1.205378973	749	874	0.856979405	0	0	0.366	151.2
DW	4155.9	4903.6	3589	1.366285874	4904	3628	1.351708931	2	0	0.931	1314.6
UC(S).AW	732.1	1916.7	664.7	2.883556492	762	1872	0.407051282	3	0	2.149	1252
C(S).AC(H)	1442.7	1587.6	722.8	2.196458218	742	1568	0.473214286	2	0	1.033	864.8
W	1464.3	1542.4	1374.6	1.122071875	1420	1466	0.968622101	2	0	1.247	167.8
C(S).AW	1507.3	1542.4	761.5	2.025476034	820	1529	0.536298234	6	0	2.28	780.9
W	1442.7	1497.2	1310.1	1.142813526	1355	1466	0.924283765	2	0	1.191	187.2
US(S)	839.8	1529.5	806.7	1.895996033	981	1497	0.655310621	1	0	0.4	722.8
AW	2110.3	3265.5	1961.9	1.664457923	2020	3246	0.622304375	0	0	0.419	1303.6
C(S).MODW	1593.5	1852.7	702.8	2.636169607	812	1442	0.563106796	5	0	2.401	1150
C(S).AW	1679.6	3303.8	766.6	4.309679103	849	3267	0.259871442	5	0	1.051	2537.2
MODW	1485.8	1597.2	1131.7	1.41132809	1186	1552	0.764175258	6	0	1.703	465.5
GR	129.2	255.5	82.1	3.112058465	96	233	0.412017167	0	0	1.507	173.4
MODC	1184.3	1396.4	483.7	2.886913376	507	1374	0.368995633	5	0	2.047	912.7
UC(S)	732.1	885.3	684.5	1.293352812	862	753	1.144754316	1	0	0.242	200.8
MODC(H)	1313.5	2558.8	1106.5	2.312516945	1201	2527	0.475267115	5	0	1.756	1452.3
UC(S).NW	3617.6	3814.3	791.3	4.820295716	942	1458	0.646090535	4	0	2.335	3023
GR	129.2	231.2	84.5	2.736094675	93	204	0.455882353	1	0	1.708	146.7
AC	775.2	1195.9	502.3	2.380848099	565	1147	0.492589364	2	0	1.201	693.5
AC(S)	323	453.4	160	2.83375	164	436	0.376146789	2	0	0.564	293.4
MODC(H)	710.6	1098.1	511.2	2.148082942	533	1062	0.501883239	4	0	1.705	586.8
PE.MODC	796.7	1364.3	553.3	2.465750949	622	1333	0.466616654	3	0	1.966	811
C(S).AC	1270.5	1615.8	829.9	1.946981564	899	1440	0.624305556	2	0	2.389	785.9
AGR.QK	301.5	603.5	210.6	2.865622032	217	588	0.369047619	3	0	1.544	392.9
SC(A)	1270.5	4819	496.7	9.702033421	1163	1509	0.770709079	2	0	1.544	4322.3
DC(S)	1012.1	1295.1	899	1.440600667	1239	993	1.247734139	0	0	0.161	396.1
AC(S).AW	1507.3	1603.2	635	2.524724409	685	1459	0.469499657	3	0	2.168	968.2
PE.AGR(H)	344.5	491.1	136.8	3.589912281	168	441	0.380952381	0	0	0.985	354.4
AGR(H).TI(A)	646	1081.7	149.2	7.25	199	1007	0.197616683	2	30	3.565	932.5
UC(S).W	775.2	1582.5	690.2	2.292813677	954	1552	0.614690722	3	0	2.176	892.4
TI(A)	775.2	1358.3	382.4	3.552039749	440	1270	0.346456693	2	0	2.815	975.9
UC(S).MODW	2820.8	3068.4	738.5	4.154908599	897	3051	0.294001967	17	0	2.412	2329.8
P.AGR(L)	990.5	1740.7	74.6	23.33378016	877	274	3.200729927	2	0	2.465	1666.1
DSQ	818.3	957.4	659	1.452807284	821	821	1	0	0	0.122	298.4
DSQ	1205.9	1293.1	945	1.368359788	1119	1119	1	0	0	0.122	348.1
P.AGR(L)	344.5	1603.9	198.9	8.063851181	1385	387	3.57881137	4	30	3.211	1405
P.MODGR	323	3499.2	211	16.58388626	224	479	0.467640919	10	30	3.371	3288.2
PE.AGR(H)	344.5	466.3	130.6	3.570444104	168	410	0.409756098	0	0	1.157	335.7
PE.AGR(H)	344.5	453.8	99.5	4.56080402	131	417	0.314148681	2	0	1.119	354.4
TI(A)(L)	732.1	1647.4	528.4	3.117713853	630	1616	0.389851485	4	0	2.062	1119
AS(S).W	1378.1	2843.3	727.8	3.906705139	882	2547	0.346289753	4	0	1.141	2115.5
GR(S).BE	258.4	7228.4	174.4	41.44724771	218	436	0.5	4	36	3.707	7054
UC(S).C(H)	1227.4	1609.3	702.1	2.292123629	707	1522	0.464520368	6	0	2.256	907.1
UC(S).W	1227.4	1295.3	706.5	1.833404105	746	1243	0.600160901	3	0	2.466	588.8
GR	129.2	327.1	82.9	3.945717732	100	283	0.35335689	0	0	1.636	244.2
GR(L)	129.2	270.4	39.3	6.880407125	44	196	0.224489796	3	0	2.491	231.1
GW(L).EE	538.3	5390.4	160.4	33.60598504	728	2381	0.305753885	2	20	9.058	5230
GW(L)	538.3	5355.5	183.2	29.2330786	728	521	1.39731286	2	10	5.29	5172.3
EE(L)	215.3	5365.8	148	36.25540541	521	2381	0.218815624	0	30	3.741	5217.8
GW(L).EE	495.3	10362.1	244.2	42.43284193	567	3651	0.155299918	0	16	8.715	10117.9
GW(L)	495.3	10361.6	320.7	32.30932336	567	567	1	0	30	4.235	10040.9
EE	430.7	10238.2	246.7	41.50060803	488	3824	0.127615063	0	20	4.392	9991.5
PE.UW(S)	2928.5	3244.2	2824.8	1.148470688	2960	2224	1.330935252	1	0	0.398	419.4
NW	2950	3009.2	2642.9	1.138597752	2870	2643	1.085887249	1	0	0.277	366.3
NW	2691.7	2799.9	2102.1	1.331953761	2756	2163	1.274156264	2	0	0.377	697.8
AGR(H).AC	538.3	1116.5	484.1	2.306341665	536	1042	0.514395393	5	0	1.451	632.4
PE.AC(H)	753.7	1386.8	527.7	2.628008338	576	1369	0.420745069	2	0	1.912	859.1
AC(S).MODW	2153.3	3497.6	1029.2	3.398367664	1273	3166	0.402084649	7	0	1.25	2468.4
AC(S).MODC(H)	882.9	1604.9	776.3	2.067370862	829	1570	0.528025478	3	0	1.988	828.6
MODW	4091.3	4194	3725.2	1.125845592	3796	4067	0.933366118	4	0	1.024	468.7
UC(S).MODW	2217.9	2374.5	592.1	4.010302314	1394	1955	0.713043478	5	0	2.028	1782.4
MODW(L)	2734.7	2874.1	2602.7	1.104276328	2603	2745	0.948269581	11	0	3.108	271.4
NSQ	947.5	1739.3	869.6	2.000114995	1092	931	1.172932331	1	0	0.243	869.6
AC(H)(L)	775.2	980.6	542.7	1.806891469	561	944	0.594279661	2	0	2.977	437.9
MODC(H)	818.3	968.3	530.4	1.825603318	549	931	0.589688507	7	0	2.918	437.9
UW	2045.7	2578.1	1942.8	1.327002265	2535	2307	1.098829649	3	0	0.918	635.3
UC(S).AC(H)(S)	1012.1	1529.6	616.8	2.479896239	728	1408	0.517045455	4	0	0.772	912.8
AGR(S)	193.8	248.6	78.5	3.166878981	87	209	0.416267943	0	0	0.294	170.1
C(S).W	1033.6	1465.3	963.8	1.520336169	1051	1417	0.741707833	0	0	1.981	501.5
UC(S).AC	1292	1648.5	619.3	2.661876312	733	1627	0.450522434	3	0	0.854	1029.2
UC(S).DW	4048.2	6556.3	638.4	10.26989348	1052	3091	0.340342931	2	0	1.197	5918
DS(S)	732.1	4794.6	646.6	7.41509434	1586	4624	0.34299308	3	0	0.495	4148
AC(S).C(H)	1205.9	1403	536.8	2.613636364	702	1379	0.50906454	7	0	2.389	866.2
P.GR(L)	129.2	517.6	82	6.312195122	298	194	1.536082474	2	30	3.155	435.7
GW.AGR(L)	129.2	270.5	78.2	3.459079284	134	251	0.533864542	2	0	4.065	192.3
GW.AGR(L)	129.2	301.9	87.6	3.446347032	122	290	0.420689655	2	0	3.634	214.3
