songid,bout_id,time,source,date,CNN_prediction,pulse_type,IPI,center_Freq,peak_Freq,E_peak_Freq,6dB_left_Freq,6dB_right_Freq,E_background,SNR,bandwidth,pulse_type_GMM_proba,totype
5878,384,38.51198,BOMBYX,2017-02-16 15:30:39.191980000,0.99997306,A,,20.683076971332248,20.912772736975697,0.051695759561210856,18.357051697883673,23.009102244780824,0.0008637586246641114,17.77062523907889,4.652050546897151,0.9994007257662135,
5880,384,5.936,BOMBYX,2017-02-16 16:06:12.376000000,0.99858296,B,16.288,19.38577550773705,19.2963357796096,0.0618477387925898,17.74472846857385,21.02682254690025,0.001004549474088539,17.893524954435144,3.2820940783263985,0.9825920986994909,BA
5880,384,22.224000000000004,BOMBYX,2017-02-16 16:06:28.664000000,0.9999614,A,16.64,20.484232140901153,20.118126206296605,0.06254244963701437,18.011673709612577,22.95679057218973,0.0010379336316614024,17.80005303094712,4.9451168625771516,0.9926142382237543,AA
5880,384,38.864000000000004,BOMBYX,2017-02-16 16:06:45.304000000,0.9999013,A,,20.445943373991945,20.235897657322386,0.057271425897872326,18.10476911480856,22.78711763317533,0.0009032701941202257,18.021203162322706,4.682348518366773,0.9884285105344119,
5882,384,5.9040000000000035,BOMBYX,2017-02-16 16:24:17.624000000,0.9160685,A,17.952,20.545230208436873,19.720577909554788,0.018593533698732338,18.332370795124007,22.75808962174974,0.0010140198858848138,12.633154632229132,4.425718826625733,0.9964736726867225,AB
5882,384,23.856,BOMBYX,2017-02-16 16:24:35.576000000,0.79830545,B,16.544,19.723163559374285,19.416915808772846,0.01465807057441712,18.049036192037835,21.39729092671073,0.0008684869170911306,12.273135277564807,3.3482547346728957,0.8990030648725104,BA
5882,384,40.400000000000006,BOMBYX,2017-02-16 16:24:52.120000000,0.99660945,A,,20.082993728794477,20.016861965548674,0.024298229876522026,18.310705631332603,21.855281826256356,0.0010374250212287594,13.696179180891423,3.544576194923753,0.659292751191099,
5885,386,4.6639800000000005,BOMBYX,2017-03-01 08:36:04.663980000,0.93037987,A,16.19202,20.33684417379389,20.412516365443064,0.011757668076919421,18.41244729157363,22.261241056014146,0.0007320155546663106,12.05800886220947,3.848793764440515,0.9612967758106175,AA
5885,386,20.856,BOMBYX,2017-03-01 08:36:20.856000000,0.99157387,A,34.304,20.399210745415786,20.43212698346117,0.010169372284340557,18.512495406384676,22.285926084446896,0.0008825565918184944,10.615515834050575,3.773430678062219,0.9803202241196446,AA
5885,386,55.160000000000004,BOMBYX,2017-03-01 08:36:55.160000000,0.9884862,A,,20.725440731894878,20.725728223333892,0.009678716785078069,18.813226659383687,22.637654804406072,0.0007391124515531713,11.171072631465762,3.8244281450223845,0.999661765407853,
5886,386,6.064,BOMBYX,2017-03-01 09:06:07.224000000,0.9132941,A,15.936000000000002,20.31974412998214,20.3466618630067,0.009733410042957741,18.687047028966955,21.952441230997326,0.00080613944335562,10.818548483072501,3.2653942020303717,0.9537479511347057,AA
5886,386,22.0,BOMBYX,2017-03-01 09:06:23.160000000,0.90906066,A,33.888000000000005,20.394712331188973,20.310367532526982,0.010342037176048334,18.535399587278352,22.254025075099594,0.0006762819784105671,11.844782800947078,3.7186254878212424,0.9793096834275556,AA
5886,386,55.888000000000005,BOMBYX,2017-03-01 09:06:57.048000000,0.77478635,A,,20.50278446831984,20.541270255486793,0.008355493797562383,18.844472903973454,22.16109603266623,0.0007419730622819299,10.515839828836063,3.3166231286927754,0.9940834745773393,
