calltype,start_time,end_time,pause,SNR
I63,1844.53,1844.85,0.89,26
I72.3,1845.74,1846.4,140.41,28
I72.3,1986.81,1987.29,6.12,14
I63,1993.41,1993.82,0.86,20
I72.3,1994.68,1995.27,0.79,30
I63,1996.06,1996.49,0.31,28
I72.3,1996.8,1997.27,234.37,20
I63,2231.64,2232.18,0.35,39
I72.3,2232.53,2233.07,14.95,27
I72.3,2248.02,2248.78,0.58,40
I72.3,2249.36,2250.11,189.65,43
I72.3,2439.76,2440.32,187.92,30
I72.3,2628.24,2628.95,1.02,36
I63,2629.97,2630.28,0.47,28
I72.3,2630.75,2631.14,0.63,35
I63,2631.77,2632.16,0.25,21
I72.3,2632.41,2632.82,16.5,30
I72.3,2649.32,2649.97,2287.44,30
I72.3,788.41,789.05,2.19,23
I72.3,791.24,791.87,6.62,27
I72.3,798.49,799.06,58.99,20
I72.3,858.05,858.65,27.53,24
I63,886.18,886.7,0.71,20
I72.3,887.41,887.97,15.74,20
I72.3,903.71,904.24,0.83,25
I72.3,905.07,905.55,2.91,27
I72.3,908.46,908.95,4.98,26
I49.1,913.93,915.05,5.49,20
I63,920.54,920.91,0.42,21
I72.3,921.33,921.76,1.03,16
I72.3,922.79,923.29,23.1,19
I72.3,946.39,946.93,1.57,23
I72.3,948.5,949.2,9.9,28
I72.3,959.1,959.74,16.01,22
I63,975.75,976.1,0.44,25
I72.3,976.54,977.08,0.71,25
I63,977.79,978.09,0.38,27
I72.3,978.47,978.93,26.87,23
I63,1005.8,1006.13,563.79,21
I63,1569.92,1570.4,1.01,22
I72.3,1571.41,1572.04,0.47,22
I63,1572.51,1572.78,0.34,27
I72.3,1573.12,1573.66,48.55,17
I49.1,1622.21,1623.74,53.99,21
I72.3,1677.73,1678.47,1.07,44
I42.1,1679.54,1681.88,-0.42,35
I63,1722.18,1722.9,5.53,31
I72.3,1728.43,1729.13,0.61,27
I63,1729.74,1730.15,0.26,39
I72.3,1730.41,1730.87,5.15,28
I72.3,1736.02,1736.59,13.4,28
I72.3,1749.99,1750.6,19.3,20
I63,1769.9,1770.31,2.35,26
I72.3,1772.66,1773.59,1.07,28
I63,1774.66,1774.94,0.5,32
I72.3,1775.44,1775.97,21.35,28
I49.1,1797.32,1798.68,0.88,30
I63,1799.56,1799.92,0.3,37
I72.3,1800.22,1800.69,62.45,27
I72.3,1863.14,1863.67,1.14,25
I72.3,1864.81,1865.42,0.81,24
I63,1866.23,1866.62,0.22,19
I72.3,1866.84,1867.34,20.6,14
I72.3,1887.94,1888.74,7.32,28
I63,1896.06,1896.47,0.48,17
I72.3,1896.95,1897.47,1.03,25
I72.3,1898.5,1899.21,19.69,26
I72.3,1918.9,1919.64,10.53,26
I63,1930.17,1930.47,1.14,23
I72.3,1931.61,1932.1,1.33,26
I63,1933.43,1933.73,0.44,17
I72.3,1934.17,1934.65,14.28,22
I72.3,1948.93,1949.65,1.71,30
I72.3,1951.36,1952.16,0.7,22
I63,1952.86,1953.06,0.81,21
I72.3,1953.87,1954.56,7.37,15
I72.3,1961.93,1963.16,25.13,26
I63,1988.29,1988.7,0.56,31
I72.3,1989.26,1989.88,9.66,28
I63,1999.54,1999.96,28.4,26
I63,2028.36,2028.89,0.5,26
I72.3,2029.39,2030.02,2.29,24
I72.3,2032.31,2032.98,3.03,25
I72.3,2036.01,2037.11,5.1,27
I63,2042.21,2042.61,0.64,20
I72.3,2043.25,2043.71,0.95,22
I72.3,2044.66,2045.1,6.34,21
I49.1,2051.44,2052.92,15.6,31
I63,2068.52,2068.85,1.37,28
I72.3,2070.22,2070.93,8.85,23
I49.1,2079.78,2080.99,16.25,27
I49.1,2097.24,2098.74,9.83,30
I63,2108.57,2109.35,0.43,29
I72.3,2109.78,2110.58,28.9,28
I63,2139.48,2139.88,0.6,28
I72.3,2140.48,2141.23,15.67,31
I72.3,2156.9,2157.64,32.78,44
I63,2190.42,2191.02,0.76,29
I72.3,2191.78,2192.66,12.58,34
I63,2205.24,2205.72,1.29,30
I63,2207.01,2207.65,0,42
I63,2207.65,2208.2,7.61,26
I63,2215.81,2216.34,0.79,33
I72.3,2217.13,2217.9,0.83,33
I72.3,2218.73,2219.43,24.93,29
I63,2244.36,2244.79,1.28,37
I72.3,2246.07,2246.89,0.72,40
I63,2247.61,2248.05,0.41,27
I72.3,2248.46,2249.07,3.19,27
I63,2252.26,2252.76,0.47,19
I72.3,2253.23,2253.95,44.66,26
I63,2298.61,2299.08,0.59,33
I72.3,2299.67,2300.27,1.6,32
I72.3,2301.87,2302.41,1.42,12
I72.3,2303.83,2304.4,22.13,32
I49.1,2326.53,2327.81,36.01,28
I72.3,2363.82,2364.39,21.9,27
I72.3,2386.29,2386.84,18.2,32
I72.3,2405.04,2405.59,6.16,43
I63,2411.75,2412.2,2.79,30
I72.3,2414.99,2415.81,1.21,35
I72.3,2417.02,2417.79,23.59,18
I63,2441.38,2441.79,0.6,30
I72.3,2442.39,2443.06,0.94,35
I72.3,2444,2444.81,15.07,27
I63,2459.88,2460.31,0.37,36
I72.3,2460.68,2461.29,14.22,32
I63,2475.51,2475.92,0,32
I63,2475.92,2476.34,0.42,29
I72.3,2476.76,2477.33,-0.35,40
I72.3,2476.98,2477.56,0.87,30
I72.3,2478.43,2479.09,13.83,27
I63,2492.92,2493.4,-0.17,28
I63,2493.23,2493.82,0.17,32
I72.3,2493.99,2494.7,0.64,45
I72.3,2495.34,2496.25,6.13,36
I63,2502.38,2502.83,0.42,37
I72.3,2503.25,2503.99,4.44,40
I63,2508.43,2508.9,0.1,44
I72.4,2509,2509.87,-0.64,36
I72.3,2509.23,2509.76,7.31,45
I63,2517.07,2517.79,4.01,36
I72.3,2521.8,2522.62,4.86,43
I63,2527.48,2528.02,1.41,34
I72.3,2529.43,2530.09,1.48,45
I63,2531.57,2532.12,0.79,40
I63,2532.91,2533.56,-0.31,23
I63,2533.25,2533.79,0.44,30
I72.3,2534.23,2534.87,10.46,37
I63,2545.33,2545.77,4.56,43
I63,2550.33,2550.93,0.8,29
I72.3,2551.73,2552.4,17.43,36
I63,2569.83,2570.5,19.36,33
I63,2597.97,2598.62,0.49,34
I72.3,2599.29,2599.81,3.31,NA
I63,2603.12,2603.71,3.19,39
I63,2606.9,2607.48,1.46,39
I63,2608.94,2609.51,0.42,33
I72.3,2609.93,2610.5,3.21,40
I63,2613.71,2614.19,1,31
I72.3,2615.19,2615.76,0.5,30
I63,2616.26,2616.83,1.15,33
I72.3,2617.98,2618.54,0,41
I72.3,2618.54,2619.14,0.5,39
I72.3,2619.64,2620.23,11.23,43
I63,2631.46,2631.94,3.21,30
I63,2635.15,2635.66,1.26,33
I72.3,2636.92,2637.47,9.49,38
I63,2646.96,2647.41,0.92,44
I72.3,2648.33,2649.02,0.63,53
I63,2649.65,2650.14,0.22,40
I72.3,2650.36,2650.92,0,29
I72.3,2650.92,2651.42,0.44,38
I72.3,2651.86,2652.5,2.27,32
I63,2654.77,2655.22,0.36,45
I72.3,2655.58,2656.28,2.22,42
I63,2658.5,2659.07,4.93,40
I63,2664,2664.42,0.46,24
I72.3,2664.88,2665.52,1.6,32
I72.3,2667.12,2667.66,2.92,24
I63,2670.58,2671.13,6.56,35
I63,2677.69,2678.16,2.01,36
I72.3,2680.17,2680.82,0.54,41
I63,2681.36,2681.69,0.5,38
I72.3,2682.19,2682.69,6.52,34
I63,2689.21,2689.7,0.47,41
I72.3,2690.17,2690.65,0.17,41
I63,2690.82,2691.35,0.7,32
I72.3,2692.05,2692.63,0,29
I72.3,2692.63,2693.16,1.05,46
I72.3,2694.21,2694.88,23.09,40
I72.3,2717.97,2718.6,0.14,41
I63,2718.74,2719.16,0.52,NA
I72.3,2719.68,2720.34,10.64,18
I63,2730.98,2731.34,0.28,42
I72.3,2731.62,2732.12,0.29,36
I63,2732.41,2732.92,0.54,34
I72.3,2733.46,2734.14,7.31,28
I63,2741.45,2741.82,0.17,33
I63,2741.99,2742.43,-0.05,NA
I63,2742.38,2742.95,0,NA
I72.3,2742.95,2743.52,0.82,40
I63,2744.34,2744.96,8.33,34
I45,2753.29,2755.61,14.72,42
I45,2770.33,2772.85,3.2,33
I44,2776.05,2777.05,4.63,31
I45,2781.68,2784.25,4.36,23
I72.3,2788.61,2789.45,16.83,30
I45,2806.28,2808.92,0,25
I44,2808.92,2809.99,1.45,37
I45,2811.44,2814.09,2.61,23
I63,2816.7,2817.17,0.58,35
I72.3,2817.75,2818.45,65.72,32
I45,2884.17,2886.6,1.57,23
I63,2888.17,2888.85,0.59,36
I72.3,2889.44,2889.91,2.06,21
I45,2891.97,2894.35,4.86,30
I72.3,2899.21,2900.08,62.31,28
I45,2962.39,2964.37,23.06,29
I45,2987.43,2989.66,0.74,33
I49.1,2990.4,2991.24,-0.19,21
I45,2991.05,2993.2,-2.03,18
I63,2991.17,2991.69,0.49,NA
I72.3,2992.18,2992.76,0.54,26
I63,2993.3,2993.67,0.22,25
I72.3,2993.89,2994.44,2.87,22
I63,2997.31,2997.68,0,NA
I49.1,2997.68,2999.02,-0.4,26
I72.3,2998.62,2999.32,21.09,24
I72.3,3020.41,3021.38,19.97,43
I63,3041.35,3042.12,0.57,44
I72.3,3042.69,3043.71,74.91,42
I72.3,3118.62,3119.21,1.15,30
I72.3,3120.36,3121.02,6.46,29
I72.3,3127.48,3128.23,723.43,36
I63,4079.16,4079.66,1.88,28
I72.3,4081.54,4082.08,0.09,28
I72.3,4082.17,4082.71,0.51,21
I72.3,0.22,0.77,0.33,31
I72.3,1.1,1.86,3.9,33
I72.3,5.76,6.42,3.04,38
I72.3,9.46,10.11,1.24,31
I63,11.35,11.66,1.01,36
I72.3,12.67,13.54,0.74,43
I72.3,14.28,15.15,11.53,34
I63,26.68,27.22,0.6,44
I72.3,27.82,28.43,1.38,41
I72.3,29.81,30.28,6.23,35
I72.3,36.51,37.06,10.49,27
I72.3,47.55,48.25,3.16,35
I72.3,51.41,52.3,7.24,31
I63,59.54,60.22,1.17,39
I72.3,61.39,61.95,0.71,33
I63,62.66,63.03,0.37,25
I72.3,63.4,63.96,14.45,33
I63,78.41,78.94,0.33,49
I72.3,79.27,79.87,0.4,43
I72.3,80.27,80.94,18.45,25
I63,99.39,99.84,0.41,40
I72.3,100.25,100.89,2.2,24
I72.3,103.09,103.79,8.03,34
I72.3,111.82,112.54,1.03,39
I63,113.57,113.84,0.38,34
I72.3,114.22,114.73,2.94,34
I63,117.67,118.17,1.6,34
I63,119.77,120.16,0.32,22
I72.3,120.48,121.04,11.64,22
I72.4,132.68,133.43,8.93,32
I72.3,142.36,143.13,22.03,34
I63,165.16,165.68,0.64,37
I72.3,166.32,166.89,5.72,28
I72.3,172.61,173.26,1.39,32
I72.3,174.65,175.28,0.74,39
I72.3,176.02,176.59,19.87,31
I72.3,196.46,197.07,1.05,31
I63,198.12,198.4,0.76,31
I72.3,199.16,199.84,14.26,28
I72.3,214.1,214.77,2.9,31
I63,217.67,217.89,0.28,30
I72.3,218.17,218.72,7.65,29
I72.3,226.37,227.2,20.04,34
I72.3,247.24,248.05,0.73,40
I72.3,248.78,249.46,26.34,39
I63,275.8,276.38,0.74,23
I72.3,277.12,277.83,1.42,33
I72.3,279.25,280.04,6.23,31
I72.3,286.27,287.07,0,26
I72.3,287.07,287.7,44.73,33
I49.1,332.43,334.38,57.94,31
I41.2,392.32,392.69,0.5,27
I72.3,393.19,393.74,0.86,26
I63,394.6,394.86,0.4,31
I72.3,395.26,395.77,107,28
I63,502.77,503.14,0.63,27
I72.3,503.77,504.38,39.97,28
I72.3,544.35,545.02,0.67,26
I63,545.69,546.01,0.31,32
I72.3,546.32,546.9,25.94,31
I49.1,572.84,574.15,2.57,22
I72.3,576.72,577.33,1.45,24
I72.3,578.78,579.31,1.49,31
I72.3,580.8,581.4,7.28,25
I72.3,588.68,589.12,0.27,10
I72.3,589.39,590.01,5.46,30
I63,595.47,596,9.85,41
I72.3,605.85,606.51,0.08,33
I72.3,606.59,607.28,1.51,29
I72.3,608.79,609.41,3337.22,31
I72.3,3946.63,3947.19,27.44,29
I72.3,3974.63,3975.39,0.19,23
I63,3975.58,3976.01,1,24
I72.3,3977.01,3977.52,0.38,26
I72.3,3977.9,3978.46,5.57,31
I72.3,3984.03,3984.53,0.4,32
I63,3984.93,3985.29,0.34,37
I63,3985.63,3985.98,1.59,30
I72.3,3987.57,3988.05,0.57,39
I72.3,3988.62,3989.12,30.27,39
I72.3,4019.39,4019.99,15.45,28
I63,4035.44,4035.86,6.61,33
I72.3,4042.47,4043.08,5.55,40
I72.3,4048.63,4049.25,1.27,35
I63,4050.52,4050.89,0.2,28
I63,4051.09,4051.56,0.37,33
I72.3,4051.93,4052.43,58.98,43
I63,4111.41,4111.94,0.49,37
I72.3,4112.43,4112.98,1.57,33
I63,4114.55,4114.99,0.27,29
I72.3,4115.26,4115.71,41.12,39
I63,7.83,8.27,0.83,26
I72.3,9.1,9.69,2.17,32
I63,11.86,12.29,1.04,26
I63,13.33,13.93,0.82,47
I72.3,14.75,15.43,1.44,41
I72.3,16.87,17.52,10.06,40
I63,27.58,28.24,2.1,31
I63,30.34,30.88,1.05,36
I72.3,31.93,32.64,1.4,35
I63,34.04,34.57,2.23,27
I63,36.8,37.3,0.58,48
I72.3,37.88,38.6,14.65,38
I63,53.25,53.91,5.01,30
I63,58.92,59.55,1.03,35
I63,60.58,61,0.69,36
I63,61.69,62.13,0.14,34
I72.3,62.27,63.03,32.79,18
I63,95.82,96.32,0.7,53
I72.3,97.02,97.69,1,44
I72.3,98.69,99.23,19.89,38
I63,119.12,119.49,0.97,23
I72.3,120.46,121.39,9.2,35
I63,130.59,131.16,1.29,35
I72.3,132.45,133.07,15.47,48
I72.3,148.54,149.15,8.74,37
I63,157.89,158.47,0.56,41
I72.3,159.03,159.57,0,40
I63,159.57,160.14,0.43,36
I72.3,160.57,161.12,14.99,35
I63,176.11,176.71,0.56,44
I72.3,177.27,177.87,8.01,41
I63,185.88,186.47,0.56,34
I72.3,187.03,187.63,13.09,36
I63,200.72,201.14,0.69,11
I72.3,201.83,202.57,1.61,39
I72.3,204.18,204.97,3.09,30
I63,208.06,208.54,0.44,32
I72.3,208.98,209.66,2,28
I63,211.66,212.23,0.37,45
I72.3,212.6,213.18,52.65,39
I63,265.83,266.26,0.55,26
I72.3,266.81,267.61,1.54,33
I63,269.15,269.58,0.61,42
I72.3,270.19,270.98,7.81,42
I63,278.79,279.22,7.71,37
I63,286.93,287.48,0.55,36
I72.3,288.03,288.83,4.99,39
I63,293.82,294.32,0.42,33
I72.3,294.74,295.49,7.92,32
I63,303.41,303.89,0.14,23
I63,304.03,304.41,3.88,42
I72.3,308.29,309.12,48.62,46
I63,357.74,358.15,0.89,44
I72.3,359.04,359.67,21.15,51
I72.3,380.82,381.61,71.67,38
I63,453.28,453.72,0.74,40
I72.3,454.46,454.98,242.1,31
I72.3,697.08,697.75,9.08,34
I72.3,706.83,707.7,41.82,31
I72.3,749.52,750.55,12.97,30
I72.3,763.52,764.27,1.51,34
I72.3,765.78,766.66,2312.9,31
I72.4,3079.56,3079.99,8.97,31
I63,3088.96,3089.26,2.13,29
I72.4,3091.39,3091.83,1.91,36
I63,3093.74,3094.15,0.54,26
I72.3,3094.69,3095.12,2.79,31
I63,3097.91,3098.26,0.71,29
I72.4,3098.97,3099.44,23.61,34
I63,3123.05,3123.41,0.37,33
I72.3,3123.78,3124.25,67.35,38
I48.1,3191.6,3192.62,22.23,25
I72.3,3214.85,3215.36,2.69,24
I48.1,3218.05,3219.15,26.06,18
I72.3,3245.21,3245.78,-0.18,36
I63,3245.6,3246.05,0.49,44
I72.3,3246.54,3247,21.41,40
I72.3,3268.41,3269.04,25.48,41
I63,3294.52,3294.95,0.53,38
I72.3,3295.48,3296.06,0.69,39
I72.3,3296.75,3297.24,10.63,30
I72.3,3336.85,3337.51,15.49,22
I63,3360.58,3361.15,0.75,41
I72.3,3361.9,3362.44,-0.15,32
I72.3,3363.49,3364.15,1.07,36
I63,3365.22,3365.55,-0.06,29
I63,3365.75,3366.24,0.4,NA
I72.3,3366.64,3367.15,2.81,32
I72.3,3369.96,3370.59,8.18,33
I63,3382.9,3383.43,1.14,29
I72.3,3384.57,3385.08,2.26,29
I63,3387.34,3387.79,0.49,28
I72.3,3388.28,3388.88,3.09,38
I63,3409.93,3410.43,0.41,32
I72.3,3410.84,3411.35,0.12,35
I63,3411.47,3411.84,0.62,34
I72.3,3412.46,3413.02,3.83,38
I72.3,3416.85,3417.55,0.64,41
I63,3418.19,3418.59,0.34,47
I72.3,3418.93,3419.45,11.12,49
I51,3430.57,3431.59,5.7,24
I72.3,3437.29,3437.91,0.12,44
I51,3438.03,3438.99,0.24,35
I51,3439.23,3440.28,3.69,22
I51,3443.97,3445.07,1.17,21
I51,3446.24,3447.38,2.17,29
I63,3450.77,3451.37,0.61,31
I72.3,3451.98,3452.58,18.13,36
I63,3470.71,3471.27,0.75,33
I72.3,3472.02,3472.94,7.99,47
I63,3480.93,3481.46,0.54,47
I72.3,3482,3482.77,0.82,45
I72.3,3483.59,3484.09,14.05,38
I63,3498.14,3498.57,0.52,33
I72.3,3499.09,3499.94,0.8,42
I51,3500.74,3501.72,14.13,34
I63,3515.85,3516.28,10.96,30
I72.3,3530.57,3531.34,12.35,38
I63,3543.69,3544.12,0.59,34
I72.3,3544.71,3545.25,0.09,43
I63,3545.34,3545.75,4.94,27
I72.3,3550.69,3551.44,8.77,43
I49.1,3560.21,3562.02,9.68,30
I72.3,3571.7,3572.39,0.72,43
I72.3,3573.11,3573.64,1.24,29
I72.3,3574.88,3575.37,8.26,22
I63,3583.63,3584.13,0.18,33
I63,3584.31,3584.93,0.41,34
I72.3,3585.34,3585.92,0,28
I49.1,3585.92,3587.6,2.12,29
I51,3591.22,3592.22,4.61,27
I63,3599.74,3600.23,0.57,40
I72.3,3600.8,3601.37,-0.1,42
I63,3601.27,3601.74,0.41,34
I63,3602.15,3602.46,0.09,39
I72.3,3602.55,3603.3,-0.4,31
I72.3,3602.9,3603.75,7.64,47
I72.3,3611.39,3612.32,0.72,32
I63,3613.04,3613.41,0.54,34
I72.3,3613.95,3614.62,4.66,40
I63,3620.88,3621.38,0.49,32
I72.3,3621.87,3622.33,16.93,40
I49.1,3639.26,3640.57,10.63,35
I49.1,3666.61,3668.25,-0.61,30
I63,3667.64,3668.05,0.73,44
I72.3,3668.78,3669.5,3.54,52
I63,3673.04,3673.37,0.37,25
I72.3,3673.74,3674.39,5.81,30
I63,3687.86,3688.43,20.7,34
I63,3711.16,3711.52,0.41,46
I72.3,3711.93,3712.41,9.69,35
I63,3746.78,3747.24,0.42,39
I72.3,3747.66,3748.14,10.92,28
I72.3,3759.06,3759.67,284.73,37
I51,4044.4,4045.71,0.78,16
I51,4046.49,4047.8,50.27,18
I63,4098.07,4098.37,32.13,19
I49.1,7.37,8.71,3.54,28
I72.3,12.25,12.89,0.51,31
I63,161.37,161.8,13.23,23
I63,175.03,175.62,41.48,25
I72.3,217.1,217.71,2.15,28
I63,219.86,220.31,0.31,30
I72.3,220.62,221.11,0.96,30
I72.3,222.07,222.6,45.43,30
I63,268.03,268.46,3.71,31
I72.3,272.17,272.67,0.79,33
I63,273.46,273.88,0.31,33
I72.3,274.19,274.79,31.61,25
I49.1,306.4,307.82,53.09,27
I63,360.91,361.41,0.9,34
I72.3,362.31,362.82,0.68,25
I72.3,363.5,363.99,28.53,18
I72.3,392.52,393.22,0.76,28
I63,393.98,394.47,0.21,36
I72.3,394.68,395.25,26.92,27
I49.1,422.17,423.16,106.67,27
I63,529.83,530.36,0.76,23
I72.3,531.12,531.68,36.51,23
I63,568.19,568.59,0.96,20
I72.3,569.55,570.03,2.49,16
I63,572.52,572.87,0.52,27
I72.3,573.39,573.86,35.69,24
I63,609.55,610.05,0.91,22
I72.3,610.96,611.55,1.55,24
I72.3,613.1,613.7,0.4,26
I63,614.1,614.57,0.63,40
I63,615.2,615.66,1.43,27
I72.3,617.09,617.81,15.57,29
I63,633.38,633.88,0.97,31
I63,634.85,635.33,7.47,28
I72.3,642.8,643.56,0.71,31
I72.3,644.27,645,10.91,29
I63,655.91,656.37,2.8,24
I72.3,659.17,659.78,0.52,36
I63,660.3,660.66,0.28,35
I72.3,660.94,661.48,10.54,37
I63,672.02,672.64,1.98,38
I63,674.62,675.27,18.67,40
I63,693.94,694.69,2.29,39
I72.3,696.98,697.84,36.46,41
I49.1,783.27,784.89,17.21,19
I49.1,802.1,803.62,1.2,37
I38.1,2041.14,2042.03,0.34,18
I38.1,2042.37,2043.05,-0.34,24
I11.4,2042.71,2043.66,43.22,27
I37.1,2086.88,2087.97,1.98,25
I38.1,2089.95,2090.46,0.52,28
I11.4,2090.98,2091.95,0.5,41
I69,2092.45,2093.4,3.75,34
I38.1,2097.15,2097.47,0.69,29
I11.4,2098.16,2099.1,4.22,33
I38.1,2103.32,2103.86,0.38,29
I11.4,2104.24,2105.21,0.5,36
I69,2105.71,2106.7,36.26,25
I38.1,2142.96,2143.37,0.63,21
I11.4,2144,2144.97,13.24,22
I37.1,2158.21,2159.16,0.83,25
I37.1,2159.99,2160.95,14.86,27
I38.1,2175.81,2176.35,0.44,29
I11.4,2176.79,2177.78,2.53,40
I38.1,2180.31,2180.71,0.48,20
I11.4,2181.19,2182.07,15.19,16
I38.1,2197.26,2197.82,0.34,31
I11.4,2198.16,2199.2,0.38,40
I69,2199.58,2200.58,2.13,25
I38.1,2202.71,2203.03,0.44,23
I11.4,2203.47,2204.46,15.34,17
I38.1,2219.8,2220.34,0.42,28
I11.4,2220.76,2221.7,0.66,42
I69,2222.36,2223.28,2.16,34
I38.1,2225.44,2225.8,0.64,46
I11.4,2226.44,2227.46,2.14,36
I11.4,2229.6,2230.54,2.35,24
I53.2,2232.89,2234.06,1.21,28
I53.2,2235.27,2236.16,0.78,31
I38.1,2236.94,2237.49,0.44,37
I11.4,2237.93,2238.91,0.49,46
I69,2239.4,2240.36,3.18,34
I44,2243.54,2244.38,1.36,33
I53.2,2245.74,2246.6,0.27,36
I11.4,2246.87,2247.93,0.43,34
I69,2248.36,2249.36,3.35,29
I53.1,2252.71,2253.4,2.3,16
I37.1,2255.7,2256.66,0.95,23
I37.1,2257.61,2258.6,0.98,25
I53.2,2259.58,2260.2,4.02,18
I53.1,2264.22,2264.97,5.29,28
I44,2270.26,2271.44,-0.87,25
I38.1,2270.57,2271.1,0.43,13
I11.4,2271.53,2272.68,-0.08,24
I69,2272.6,2274.01,0.86,17
I53.1,2274.87,2275.65,0.81,36
I37.1,2276.46,2277.41,1.26,31
I37.1,2278.67,2279.7,7.6,NA
I44,2287.3,2288.18,5.33,39
I53.1,2293.51,2294.17,0.33,34
I11.4,2294.5,2295.63,0,44
I42.1,2295.63,2297.55,1.63,23
I38.1,2299.18,2299.69,0.57,30
I11.4,2300.26,2301.43,1.2,37
I53.1,2302.63,2303.36,-0.11,32
I42.1,2303.25,2305.5,1.85,19
I37.1,2307.35,2308.42,8.47,24
I42.1,2316.89,2318.06,0.77,18
I38.1,2318.83,2319.43,0.67,23
I11.4,2320.1,2321.33,-0.41,35
I44,2320.92,2321.87,-0.14,NA
I69,2321.73,2323.2,8.43,21
I53.1,2331.63,2332.38,11.27,21
I44,2343.65,2344.49,18.53,23
I38.1,2363.02,2363.69,0.48,33
I11.4,2364.17,2365.29,0.45,51
I69,2365.74,2366.93,11.1,27
I11.4,2378.03,2379.05,12.21,36
I38.1,2391.26,2391.9,0.33,34
I11.4,2392.23,2393.29,1.93,51
I38.1,2395.22,2395.52,0.7,41
I11.4,2396.22,2397.31,14.52,41
I38.1,2411.83,2412.5,0.26,34
I11.4,2412.76,2413.67,0.51,46
I69,2414.18,2415.11,2.58,17
I37.1,2417.69,2418.66,11.72,21
I38.1,2430.38,2430.81,0.51,34
I11.4,2431.32,2432.18,0.44,37
I69,2432.62,2433.51,15.56,NA
I38.1,2449.07,2449.65,0.55,36
I11.4,2450.2,2451.34,17.78,46
I38.1,2469.12,2469.6,0.4,30
I11.4,2470,2471.05,24.55,42
I38.1,2495.6,2496.11,0.29,35
I11.4,2496.4,2497.4,0.48,51
I69,2497.88,2499,1.91,38
I37.1,2500.91,2501.79,5.84,26
I38.1,2507.63,2507.98,0.61,32
I11.4,2508.59,2509.61,10.11,45
I38.1,2519.72,2520.07,0.62,35
I11.4,2520.69,2521.73,6.3,46
I37.1,2528.03,2529.02,11.53,32
I43.7,2540.55,2541.98,2.01,31
I38.1,2543.99,2544.38,0.6,30
I11.4,2544.98,2546.15,13.34,43
I38.1,2559.49,2559.84,0.42,22
I11.4,2560.26,2561.17,2.78,31
I37.1,2563.95,2564.92,0.97,16
I37.1,2565.89,2566.82,17.52,21
I38.1,2584.34,2584.82,0.47,28
I11.4,2585.29,2586.23,0.56,50
I69,2586.79,2587.86,18.48,36
I38.1,2606.34,2606.79,0.35,18
I11.4,2607.14,2608.13,0.76,28
I69,2608.89,2611.65,2.33,17
I37.1,2613.98,2615.04,1.93,23
I38.1,2616.97,2617.67,0.32,42
I11.4,2617.99,2619.04,2.56,48
I43.7,2621.6,2622.99,2.14,28
I37.1,2625.13,2626.08,0.88,35
I37.1,2626.96,2627.84,4.45,37
I38.1,2632.29,2632.9,0.33,36
I11.4,2633.23,2634.18,0.57,50
I69,2634.75,2635.8,9.25,25
I43.7,2645.05,2646,8.3,18
I38.1,2654.3,2654.89,0.47,41
I11.4,2655.36,2656.39,12.39,42
I43.7,2668.78,2670.14,3.92,21
I43.7,2674.06,2675.15,9.56,18
I38.1,2684.71,2685.17,0.43,31
I11.4,2685.6,2686.74,32.57,48
I43.7,2719.31,2720.54,14.85,27
I43.7,2735.39,2736.55,5.16,21
I11.4,2741.71,2742.73,2.63,23
I43.7,2745.36,2746.29,9.05,20
I43.7,2755.34,2756.3,3.65,23
I43.7,2759.95,2760.97,16.2,20
I11.4,2777.17,2778.28,1.14,23
I38.1,2779.42,2780,0.25,41
I11.4,2780.25,2781.21,0.39,38
I69,2781.6,2782.51,20.67,25
I37.1,2803.18,2803.8,127.31,24
I62.1,2931.11,2931.87,1.06,20
I62.1,2932.93,2933.77,5.78,20
I62.1,2939.55,2940.87,69.72,17
I37.1,3010.59,3011.62,1.45,15
I37.1,3013.07,3014.01,35.63,27
I37.2,3049.64,3050.83,17.64,22
I11.4,3068.47,3069.44,0.85,34
I37.1,3070.29,3071.26,26.59,29
I11.4,3097.85,3098.83,0.73,20
I37.1,3099.56,3100.42,15.73,26
I37.1,3116.15,3117.07,1.18,23
I37.1,3118.25,3119.13,10.1,17
I11.4,3129.23,3130.19,2.7,NA
I37.1,3132.89,3133.78,22.37,14
I37.1,3201.44,3202.37,0.99,21
I37.1,3203.36,3204.29,6.09,25
I11.4,3210.38,3211.64,10.27,22
I11.5,3221.91,3223.15,3.13,26
I37.1,3226.28,3227.33,10.49,19
I11.5,3237.82,3239.11,0.75,29
I11.4,3239.86,3240.92,18.4,27
I11.4,3259.32,3260.45,0.85,31
I11.4,3261.3,3262.39,8.53,26
I11.4,3270.92,3271.9,15.72,16
I11.4,3287.62,3288.59,10.89,30
I11.4,3299.48,3300.45,1.07,26
I37.1,3301.52,3302.43,194.08,29
I69,3496.51,3497.91,436.72,34
I69,3934.63,3936.28,460.86,22
I5.5,496.35,498.25,12.58,23
I37.1,510.83,511.97,0.87,20
I37.1,512.84,514.11,13.23,30
I37.1,527.34,528.26,9.25,23
I37.1,537.51,538.45,0.82,25
I37.1,539.27,540.17,10.58,25
I37.1,550.75,551.69,2.09,22
I11.4,553.78,554.72,0.85,13
I11.4,555.57,556.46,2.65,19
I11.4,559.11,560.13,8.28,31
I11.4,568.41,569.48,21.6,23
I37.1,591.08,591.92,4.22,26
I11.4,596.14,597.07,10.32,32
