calltype,start_time,end_time,pause,SNR
I38.1,1765.08,1765.74,0.32,NA
I39,1766.06,1766.75,0.47,NA
I69,1767.22,1768.43,10.92,11
I11.4,1779.35,1780.83,3.6,17
I69,1784.43,1786.63,123.37,13
I38.1,1910,1910.69,0.38,11
I11.4,1911.07,1912.19,0.31,17
I69,1912.5,1913.64,562.36,11
I11.4,408,409.21,6.63,15
I11.4,440.75,442.29,2.76,16
I11.4,445.05,446.5,48.59,NA
I11.4,495.09,496.57,980.76,15
I11.4,1477.33,1478.57,1.65,NA
I11.4,1480.22,1481.37,5.81,NA
I39,1487.18,1487.85,0.06,NA
I11.4,1487.91,1489.23,-1.07,NA
I69,1488.16,1490.2,1.06,10
I11.4,1491.26,1492.5,5.74,NA
I11.4,1498.24,1499.4,1.97,NA
I11.4,1501.37,1502.44,7.61,NA
I11.4,1510.05,1511.13,4.52,NA
I38.1,1515.65,1516.23,0.12,NA
I11.4,1516.35,1517.59,5.49,NA
I69,1523.08,1524.82,1.35,17
I38.1,1526.17,1526.82,0.24,14
I11.4,1527.06,1528.32,3.57,24
I11.4,1531.89,1533.06,0.39,NA
I39,1533.45,1533.94,0.29,NA
I69,1534.23,1536.24,4.17,24
I11.4,1540.41,1542.5,21,NA
I11.4,1563.5,1564.89,0.33,13
I38.1,1565.22,1566,1.5,NA
I11.4,1567.5,1569,13.3,NA
I38.1,1582.3,1582.79,10.71,NA
I11.4,1593.5,1594.9,0.43,15
I69,1595.33,1597.88,0,14
I11.4,1597.88,1599.19,2.88,23
I39,1602.07,1602.8,2.39,NA
I11.4,1605.19,1606.5,10.21,14
I11.4,1616.71,1617.94,6.01,NA
I11.4,1623.95,1625,8.5,11
I11.4,1633.5,1634.79,31.55,NA
I11.4,1666.34,1667.5,0.63,14
I69,1668.13,1669.5,0.32,NA
I11.4,1669.82,1671.1,10.65,NA
I39,1681.75,1682.38,0.43,NA
I69,1682.81,1684.36,34.5,NA
I11.4,1718.86,1720.06,-0.4,18
I11.4,1719.66,1720.72,21.02,NA
I11.4,1741.74,1743,11.89,17
I11.4,1754.89,1756.16,3.13,10
I39,1759.29,1760,0.38,22
I69,1760.38,1761.68,9.54,19
I11.4,1771.22,1772.5,0.39,15
I38.1,1772.89,1773.5,0.22,30
I11.4,1773.72,1774.7,0.13,44
I69,1774.83,1776.3,1.6,42
I11.4,1777.9,1779.07,0.84,19
I11.5,1779.91,1781.44,11.56,NA
