GhSelection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
58	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	823.598	823.597766770	834.434265661	105.3	2047.2	10.836	1941.9	Gd13	
59	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	835.704	835.704253910	843.546457055	70.2	2066.7	7.842	1996.5	Gd12	
60	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	844.184	844.183652244	854.354752080	74.1	2039.4	10.171	1965.3	Gd13	
61	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	856.078	856.078462268	867.437774702	93.6	2012.1	11.359	1918.5	Gd13	
62	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	867.961	867.960588245	875.660205878	105.3	1992.6	7.700	1887.4	Gd12	
63	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	877.380	877.379663002	885.459508666	105.3	2004.3	8.080	1899.0	Gd12	
64	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	886.201	886.201059516	894.993832739	120.9	1957.5	8.793	1836.7	Gd13	
65	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	896.752	896.752387384	908.064171314	50.7	2000.4	11.312	1949.7	Gd13	
66	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	908.444	908.444399345	916.191545482	136.5	2012.1	7.747	1875.7	Gd12	
67	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	917.522	917.522343592	929.119298545	97.5	2000.4	11.597	1902.9	Gd14	
68	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	930.320	930.319896884	947.097458764	93.6	2031.6	16.778	1938.0	Gd15	
69	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	947.810	947.810386322	961.451066944	62.4	1977.0	13.641	1914.6	Gg3	
70	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	964.021	964.021411149	979.610760431	74.1	2031.6	15.589	1957.5	Bh13	
71	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	981.845	981.844600115	998.099348451	39.0	2004.3	16.255	1965.3	Bh13	
72	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1000.173	1000.172844692	1017.473220114	50.7	2019.9	17.300	1969.2	Bh14	
73	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1019.579	1019.579247555	1035.596353372	19.5	2023.8	16.017	2004.3	Bh14	
74	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1037.858	1037.858023646	1055.396041588	35.1	2023.8	17.538	1988.7	Bh14	
75	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1057.677	1057.677409776	1074.597557167	46.8	2047.2	16.920	2000.4	Bj151	
76	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1075.759	1075.759431261	1092.204293613	54.6	2051.1	16.445	1996.5	Bc14	
77	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1094.816	1094.815899006	1112.021217421	31.2	2027.7	17.205	1996.5	Bj123	
78	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1114.495	1114.494639256	1131.129615624	27.3	2035.5	16.635	2008.2	Bj123	
79	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1132.769	1132.769162284	1149.974480699	19.5	2047.2	17.205	2027.7	Bb18	
