Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
107	Spectrogram 1	1	384.056649914	384.382212574	0.0	3547.1	3547.1	445.3	0.326	D2
108	Spectrogram 1	1	385.604003785	388.319208745	0.0	3964.4	3964.4	609.4	2.715	5
109	Spectrogram 1	1	389.043263401	389.278610268	0.0	3616.7	3616.7	562.5	0.235	D2
110	Spectrogram 1	1	389.887993833	391.637792586	0.0	3477.6	3477.6	585.9	1.750	5
111	Spectrogram 1	1	392.895973156	393.366230332	0.0	4173.1	4173.1	539.1	0.470	D2
112	Spectrogram 1	1	397.369891946	399.542055914	0.0	2643.0	2643.0	398.4	2.172	5
113	Spectrogram 1	1	402.988415615	403.458672790	0.0	2643.0	2643.0	234.4	0.470	D2
114	Spectrogram 1	1	405.908441971	408.563309043	0.0	2851.6	2851.6	515.6	2.655	5
115	Spectrogram 1	1	412.726623316	413.390340084	0.0	3199.4	3199.4	257.8	0.664	D2
116	Spectrogram 1	1	414.778111508	416.346896596	0.0	3129.8	3129.8	515.6	1.569	5
117	Spectrogram 1	1	416.165882932	416.648586036	0.0	2643.0	2643.0	515.6	0.483	D2
118	Spectrogram 1	1	420.027507764	421.656630741	0.0	4659.9	4659.9	1945.3	1.629	O
119	Spectrogram 1	1	422.139333845	422.863388501	0.0	4590.4	4590.4	257.8	0.724	O
120	Spectrogram 1	1	423.466767381	425.095890357	0.0	4242.6	4242.6	515.6	1.629	5
121	Spectrogram 1	1	425.759607125	426.725013333	0.0	4938.2	4938.2	914.1	0.965	K
122	Spectrogram 1	1	429.410906378	430.526300278	0.0	4868.6	4868.6	421.9	1.115	O
123	Spectrogram 1	1	431.069341270	432.045504061	0.0	5007.7	5007.7	1007.8	0.976	O
124	Spectrogram 1	1	432.939815798	434.327587222	0.0	4868.6	4868.6	515.6	1.388	5
125	Spectrogram 1	1	434.930966102	435.896372310	0.0	4938.2	4938.2	1640.6	0.965	K
126	Spectrogram 1	1	438.494828166	439.466815661	0.0	5285.9	5285.9	187.5	0.972	O
127	Spectrogram 1	1	440.180362359	440.822482430	0.0	4938.2	4938.2	984.4	0.642	O
128	Spectrogram 1	1	441.387120119	443.136918871	0.0	4799.1	4799.1	398.4	1.750	5
129	Spectrogram 1	1	443.740297751	445.128069175	0.0	4799.1	4799.1	867.2	1.388	K
130	Spectrogram 1	1	447.626394893	448.567328791	0.0	4938.2	4938.2	1804.7	0.941	O
131	Spectrogram 1	1	449.532734999	450.075775992	0.0	4659.9	4659.9	515.6	0.543	O
132	Spectrogram 1	1	450.799830648	452.428953624	0.0	4173.1	4173.1	398.4	1.629	5
133	Spectrogram 1	1	452.670305176	454.299428152	0.0	4729.5	4729.5	890.6	1.629	K
134	Spectrogram 1	1	456.893957336	457.825267928	0.0	4799.1	4799.1	445.3	0.931	O
135	Spectrogram 1	1	458.503854735	459.168898810	0.0	4173.1	4173.1	515.6	0.665	21
136	Spectrogram 1	1	460.393554841	462.006083333	0.0	4381.7	4381.7	984.4	1.613	5
137	Spectrogram 1	1	462.288484233	463.314228329	0.0	4103.5	4103.5	843.8	1.026	K
138	Spectrogram 1	1	464.179651734	475.342161016	0.0	3755.8	3755.8	515.6	11.163	//////
139	Spectrogram 1	1	476.066215672	477.453987096	0.0	4103.5	4103.5	515.6	1.388	O
140	Spectrogram 1	1	479.175860551	480.563631975	0.0	3825.3	3825.3	1007.8	1.388	5
141	Spectrogram 1	1	481.106672967	481.891065511	0.0	3964.4	3964.4	914.1	0.784	K
142	Spectrogram 1	1	485.088973575	486.899110215	0.0	4103.5	4103.5	539.1	1.810	O
143	Spectrogram 1	1	487.804178535	489.614315176	0.0	3547.1	3547.1	632.8	1.810	5
144	Spectrogram 1	1	490.338369832	491.303776040	0.0	4173.1	4173.1	843.8	0.965	K
145	Spectrogram 1	1	494.622359880	496.311820744	0.0	4103.5	4103.5	632.8	1.689	O
146	Spectrogram 1	1	497.518578504	499.208039369	0.0	3755.8	3755.8	632.8	1.689	5
147	Spectrogram 1	1	499.871756137	500.837162345	0.0	4034.0	4034.0	492.2	0.965	K
148	Spectrogram 1	1	503.854056745	505.483179721	0.0	4242.6	4242.6	375.0	1.629	O
149	Spectrogram 1	1	506.991626921	508.681087786	0.0	4381.7	4381.7	632.8	1.689	5
150	Spectrogram 1	1	508.982777226	509.948183434	0.0	5077.3	5077.3	796.9	0.965	K
151	Spectrogram 1	1	513.622362795	515.016566026	142.4	4103.5	3961.1	1875.0	1.394	O
152	Spectrogram 1	1	516.223323786	517.973122538	0.0	3338.5	3338.5	539.1	1.750	5
153	Spectrogram 1	1	518.576501419	519.662583403	0.0	3686.2	3686.2	304.7	1.086	K
154	Spectrogram 1	1	522.343222468	523.187316871	0.0	4312.2	4312.2	1007.8	0.844	O
155	Spectrogram 1	1	523.524208235	524.670628107	0.0	3755.8	3755.8	632.8	1.146	21
156	Spectrogram 1	1	524.851641771	526.058399531	0.0	3686.2	3686.2	539.1	1.207	5
157	Spectrogram 1	1	527.144481515	528.532252940	0.0	3616.7	3616.7	421.9	1.388	K
158	Spectrogram 1	1	531.187120012	532.231889065	0.0	3616.7	3616.7	1968.8	1.045	21
159	Spectrogram 1	1	533.238608204	534.083338636	0.0	3825.3	3825.3	492.2	0.845	O
160	Spectrogram 1	1	535.048744844	535.772799500	0.0	3686.2	3686.2	351.6	0.724	5
161	Spectrogram 1	1	536.134826828	537.220908812	0.0	3547.1	3547.1	398.4	1.086	K
162	Spectrogram 1	1	538.676250448	599.766918784	0.0	5077.3	5077.3	304.7	61.091	///////
163	Spectrogram 1	1	603.421553270	605.008919764	292.9	3515.2	3222.3	398.4	1.587	O
164	Spectrogram 1	1	605.488821262	606.374793259	159.8	3195.7	3035.9	960.9	0.886	O
165	Spectrogram 1	1	606.670117258	607.851413253	0.0	2849.5	2849.5	328.1	1.181	R
166	Spectrogram 1	1	609.328033248	610.583160243	186.4	3754.9	3568.5	867.2	1.255	K
167	Spectrogram 1	1	613.573315732	614.422372229	106.5	3568.5	3462.0	539.1	0.849	O
168	Spectrogram 1	1	614.717696227	615.935907723	106.5	3595.1	3488.6	703.1	1.218	Q
169	Spectrogram 1	1	616.120485222	618.224668714	79.9	3808.2	3728.3	304.7	2.104	R
170	Spectrogram 1	1	618.529757978	619.736515738	0.0	5703.2	5703.2	843.8	1.207	K
171	Spectrogram 1	1	622.451720698	623.296451131	0.0	5216.4	5216.4	1992.2	0.845	O
172	Spectrogram 1	1	623.899830011	624.925574107	0.0	4590.4	4590.4	890.6	1.026	O
173	Spectrogram 1	1	625.287601435	627.097738075	0.0	4590.4	4590.4	304.7	1.810	R
174	Spectrogram 1	1	627.580441179	628.726861051	0.0	4868.6	4868.6	867.2	1.146	K
