Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
90	Spectrogram 1	1	147.344544116	147.850496488	663.5	2479.2	0.506	1815.8	1500.0	X
91	Spectrogram 1	1	148.056751507	148.518061023	593.6	2549.1	0.461	1955.5	1171.9	X
92	Spectrogram 1	1	148.666870544	149.187703869	279.4	2479.2	0.521	2199.9	328.1	X
93	Spectrogram 1	1	149.262108629	149.812703858	419.0	2479.2	0.551	2060.2	1125.0	X
94	Spectrogram 1	1	149.931751475	150.437703847	523.8	2479.2	0.506	1955.5	1125.0	X
95	Spectrogram 1	1	150.541870512	151.077584788	453.9	2444.3	0.536	1990.4	2156.2	X
96	Spectrogram 1	1	151.137108597	151.732346682	523.8	2514.2	0.595	1990.4	1265.6	X
97	Spectrogram 1	1	151.836513347	152.401989527	453.9	2479.2	0.565	2025.3	1406.2	X
98	Spectrogram 1	1	152.461513336	152.997227612	314.3	2479.2	0.536	2165.0	1078.1	X
99	Spectrogram 1	1	153.131156181	153.622227601	803.1	2514.2	0.491	1711.0	1359.4	X
100	Spectrogram 1	1	153.666870458	154.202584734	523.8	2479.2	0.536	1955.5	1359.4	X
101	Spectrogram 1	1	154.336513303	154.931751388	558.7	2514.2	0.595	1955.5	1312.5	X
102	Spectrogram 1	1	154.990236041	155.466426509	733.3	2514.2	0.476	1780.9	1171.9	X
103	Spectrogram 1	1	158.154578288	160.133744920	488.9	2549.1	1.979	2060.2	2203.1	Z
104	Spectrogram 1	1	162.455173451	162.931363919	593.6	2514.2	0.476	1920.5	843.8	X
105	Spectrogram 1	1	163.050411536	163.392673435	593.6	2479.2	0.342	1885.6	1078.1	X
106	Spectrogram 1	1	163.660530573	163.958149615	663.5	2514.2	0.298	1850.7	1031.2	X
107	Spectrogram 1	1	167.314905084	169.234547908	593.6	2549.1	1.920	1955.5	609.4	Z
108	Spectrogram 1	1	170.899877881	171.390949301	139.7	1501.5	0.491	1361.8	328.1	17
109	Spectrogram 1	1	172.683243977	174.349910615	663.5	2444.3	1.667	1780.9	1687.5	Z
110	Spectrogram 1	1	174.858211146	175.438568279	139.7	1501.5	0.580	1361.8	328.1	17
111	Spectrogram 1	1	177.185814319	177.840576212	104.8	1571.3	0.655	1466.6	328.1	17
112	Spectrogram 1	1	179.600501675	181.043954030	593.6	2479.2	1.443	1885.6	1593.8	Z
113	Spectrogram 1	1	181.456647578	182.081647567	174.6	1536.4	0.625	1361.8	328.1	17
114	Spectrogram 1	1	182.576692099	184.079668263	663.5	2479.2	1.503	1815.8	2250.0	Z
115	Spectrogram 1	1	184.298909433	184.417957050	139.7	1571.3	0.119	1431.7	328.1	19
116	Spectrogram 1	1	184.477480859	185.102480848	139.7	1536.4	0.625	1396.8	328.1	17
117	Spectrogram 1	1	186.263195114	186.903076055	34.9	1501.5	0.640	1466.6	328.1	17
118	Spectrogram 1	1	191.184167091	192.478809926	523.8	2409.4	1.295	1885.6	2203.1	Z
119	Spectrogram 1	1	192.714140248	192.892711674	0.0	1475.1	0.179	1475.1	0.0	19
120	Spectrogram 1	1	192.937354530	193.666521184	0.0	1435.2	0.729	1435.2	328.1	17
121	Spectrogram 1	1	195.005806875	195.154616396	39.9	1475.1	0.149	1435.2	328.1	19
122	Spectrogram 1	1	195.229021157	195.913544955	39.9	1435.2	0.685	1395.3	328.1	17
123	Spectrogram 1	1	198.431337645	200.150087615	453.9	2479.2	1.719	2025.3	796.9	Z
124	Spectrogram 1	1	200.377830591	200.601044873	79.7	1475.1	0.223	1395.3	281.2	19
125	Spectrogram 1	1	200.660568682	201.523663905	0.0	1515.0	0.863	1515.0	328.1	17
126	Spectrogram 1	1	202.520687697	202.684378170	39.9	1475.1	0.164	1435.2	46.9	19
127	Spectrogram 1	1	202.743901979	203.532592441	39.9	1435.2	0.789	1395.3	328.1	17
128	Spectrogram 1	1	206.472681251	206.636371724	0.0	1438.0	0.164	1438.0	0.0	19
129	Spectrogram 1	1	206.695895532	207.335776474	0.0	1438.0	0.640	1438.0	328.1	17
130	Spectrogram 1	1	208.415524251	209.434869471	419.0	2479.2	1.019	2060.2	2109.4	Z
131	Spectrogram 1	1	209.835776430	210.014347856	49.6	1487.6	0.179	1438.0	281.2	19
132	Spectrogram 1	1	210.058990712	210.743514510	0.0	1388.4	0.685	1388.4	328.1	17
133	Spectrogram 1	1	211.861210872	212.024901345	0.0	1487.6	0.164	1487.6	328.1	19
134	Spectrogram 1	1	212.069544201	212.649901334	0.0	1388.4	0.580	1388.4	328.1	17
135	Spectrogram 1	1	214.314430269	215.393299298	523.8	2444.3	1.079	1920.5	750.0	Z
136	Spectrogram 1	1	215.804663184	215.983234610	49.6	1438.0	0.179	1388.4	328.1	19
137	Spectrogram 1	1	216.027877466	216.727282216	0.0	1388.4	0.699	1388.4	281.2	17
138	Spectrogram 1	1	217.858234577	218.021925050	99.2	1487.6	0.164	1388.4	281.2	19
139	Spectrogram 1	1	218.096329811	218.825496465	0.0	1542.8	0.729	1542.8	328.1	17
