Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
88	Spectrogram 1	1	Guigo1_0117.wav	1058.247	1058.247075224	1064.861424540	40.7	3908.8	6.614	3868.1	Bf111	
89	Spectrogram 1	1	Guigo1_0117.wav	1067.216	1067.215684466	1073.605818552	24.4	3949.5	6.390	3925.1	Be11	
90	Spectrogram 1	1	Guigo1_0117.wav	1075.456	1075.455594208	1081.173082600	40.7	3965.8	5.717	3925.1	Be11	
91	Spectrogram 1	1	Guigo1_0117.wav	1083.079	1083.078912064	1089.412992342	97.7	3982.1	6.334	3884.3	Be11	
92	Spectrogram 1	1	Guigo1_0117.wav	1090.534	1090.534068497	1097.765009699	57.0	4006.5	7.231	3949.5	Df11	
93	Spectrogram 1	1	Guigo1_0117.wav	1098.739	1098.738646573	1107.370932969	32.6	4030.9	8.632	3998.3	Df11	
94	Spectrogram 1	1	Guigo1_0117.wav	1108.100	1108.099632470	1116.844026482	8.1	3982.1	8.744	3973.9	Df11	
95	Spectrogram 1	1	Guigo1_0117.wav	1117.797	1117.796941214	1125.420259070	40.7	3859.9	7.623	3819.2	Df11	
96	Spectrogram 1	1	Guigo1_0117.wav	1126.261	1126.261066186	1134.444922120	0.0	3778.5	8.184	3778.5	Df11	
97	Spectrogram 1	1	Guigo1_0117.wav	1135.846	1135.846267314	1143.133262324	48.9	3843.6	7.287	3794.8	Df11	
98	Spectrogram 1	1	Guigo1_0117.wav	1144.505	1144.505492676	1152.577240995	16.3	3811.0	8.072	3794.8	Df11	
99	Spectrogram 1	1	Guigo1_0117.wav	1153.586	1153.586209534	1162.218495930	65.1	3916.9	8.632	3851.8	Df11	
100	Spectrogram 1	1	Guigo1_0117.wav	1162.971	1162.970610562	1170.930251265	114.0	3884.3	7.960	3770.3	Df11	
101	Spectrogram 1	1	Guigo1_0117.wav	1171.547	1171.546843151	1178.441461506	0.0	3916.9	6.895	3916.9	Df11	
102	Spectrogram 1	1	Guigo1_0117.wav	1179.002	1179.001999583	1187.522178364	32.6	3908.8	8.520	3876.2	Df11	
103	Spectrogram 1	1	Guigo1_0117.wav	1189.036	1189.036356361	1197.052050872	0.0	3900.6	8.016	3900.6	Df11	
104	Spectrogram 1	1	Guigo1_0117.wav	1198.509	1198.509449874	1205.123799190	0.0	3982.1	6.614	3982.1	Df11	
105	Spectrogram 1	1	Guigo1_0117.wav	1206.021	1206.020660114	1214.765054126	89.6	4022.8	8.744	3933.2	Df11	
106	Spectrogram 1	1	Guigo1_0117.wav	1215.213	1215.213484588	1221.323349635	97.7	3965.8	6.110	3868.1	Df11	
107	Spectrogram 1	1	Guigo1_0117.wav	1223.159	1223.158930463	1230.558033089	73.3	3965.8	7.399	3892.5	Df11	
108	Spectrogram 1	1	Guigo1_0117.wav	1232.184	1232.183593514	1238.966104254	81.4	3957.6	6.783	3876.2	Df11	
109	Spectrogram 1	1	Guigo1_0117.wav	1239.527	1239.526642331	1245.132023108	16.3	4006.5	5.605	3990.2	Ee11	
110	Spectrogram 1	1	Guigo1_0117.wav	1245.580	1245.580453570	1248.327090151	0.0	3965.8	2.747	3965.8	Ee11	
111	Spectrogram 1	1	Guigo1_0117.wav	1248.944	1248.943682036	1252.531125733	81.4	3876.2	3.587	3794.8	Ee11	
112	Spectrogram 1	1	Guigo1_0117.wav	1254.325	1254.324847582	1259.930228358	0.0	4006.5	5.605	4006.5	Ee12	
113	Spectrogram 1	1	Guigo1_0117.wav	1260.995	1260.995250706	1264.694802019	0.0	3982.1	3.700	3982.1	Ee11	
114	Spectrogram 1	1	Guigo1_0117.wav	1265.087	1265.087178673	1267.329330984	0.0	3884.3	2.242	3884.3	Ee11	
115	Spectrogram 1	1	Guigo1_0117.wav	1267.834	1267.833815253	1271.028882296	114.0	3794.8	3.195	3680.8	Ee11	
116	Spectrogram 1	1	Guigo1_0117.wav	1273.248	1273.247721892	1276.779111781	8.1	3811.0	3.531	3802.9	Ee11	
117	Spectrogram 1	1	Guigo1_0117.wav	1278.293	1278.292564591	1282.160277327	0.0	4022.8	3.868	4022.8	Ee11	
