Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
146	Spectrogram 1	1	224.861347685	225.155975505	46.5	2023.3	0.295	1976.8	46.9	X
147	Spectrogram 1	1	225.524260281	225.808365679	116.3	2093.0	0.284	1976.7	375.0	X
148	Spectrogram 1	1	226.450233431	226.744861251	116.3	2116.3	0.295	2000.0	1125.0	X
149	Spectrogram 1	1	227.007921805	227.323594470	186.0	2116.3	0.316	1930.3	1031.2	X
150	Spectrogram 1	1	229.796363676	231.785101464	325.6	2116.3	1.989	1790.7	703.1	Z
151	Spectrogram 1	1	234.620977450	235.216215535	186.0	1697.7	0.595	1511.7	375.0	17
152	Spectrogram 1	1	237.001929790	237.262346452	162.8	1511.6	0.260	1348.8	375.0	20
153	Spectrogram 1	1	237.978887401	238.261625491	162.8	2093.0	0.283	1930.2	1078.1	X
154	Spectrogram 1	1	238.678292151	238.961030241	232.6	2116.3	0.283	1883.7	1078.1	X
155	Spectrogram 1	1	239.414899281	239.727399275	139.5	2000.0	0.312	1860.5	1078.1	X
156	Spectrogram 1	1	240.211030219	240.478887358	116.3	2000.0	0.268	1883.7	1171.9	X
157	Spectrogram 1	1	240.754184972	241.022042110	116.3	2046.5	0.268	1930.2	234.4	X
158	Spectrogram 1	1	241.408946865	241.691684956	139.5	2000.0	0.283	1860.5	1171.9	X
159	Spectrogram 1	1	242.004184950	242.286923041	139.5	2000.0	0.283	1860.5	1171.9	X
160	Spectrogram 1	1	242.606863511	242.911923030	46.5	1976.7	0.305	1930.2	1125.0	X
161	Spectrogram 1	1	243.231863500	243.522042067	69.8	2023.3	0.290	1953.5	1171.9	X
162	Spectrogram 1	1	243.819661109	244.117280152	116.3	1930.2	0.298	1813.9	1125.0	X
163	Spectrogram 1	1	244.541387287	244.816684901	186.0	1953.5	0.275	1767.5	1218.8	X
164	Spectrogram 1	1	245.128750080	245.433900323	139.5	1883.7	0.305	1744.2	1171.9	X
165	Spectrogram 1	1	245.833752365	246.138902607	162.8	1953.5	0.305	1790.7	1171.9	X
166	Spectrogram 1	1	249.508295763	251.718004415	395.3	2023.3	2.210	1628.0	890.6	Z
