Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
100	Spectrogram 1	1	368.201972851	374.266158094	213.0	8343.9	8130.9	562.5	6.064	G
101	Spectrogram 1	1	375.758695304	377.810933967	0.0	8061.0	8061.0	539.1	2.052	5
102	Spectrogram 1	1	380.389014726	385.460187167	133.2	7636.8	7503.6	328.1	5.071	G
103	Spectrogram 1	1	386.144266722	388.569639688	0.0	7353.9	7353.9	492.2	2.425	5
104	Spectrogram 1	1	388.694017789	389.378097343	0.0	6364.0	6364.0	23.4	0.684	K
105	Spectrogram 1	1	391.865659359	396.242789749	186.4	6081.1	5894.7	328.1	4.377	G
106	Spectrogram 1	1	397.338295795	399.266156358	0.0	5939.7	5939.7	23.4	1.928	5
107	Spectrogram 1	1	399.639290660	400.074614013	0.0	5939.7	5939.7	23.4	0.435	K
108	Spectrogram 1	1	402.935310332	406.185080335	106.5	5656.9	5550.4	351.6	3.250	G
109	Spectrogram 1	1	407.039787659	409.092026322	0.0	5656.9	5656.9	23.4	2.052	5
110	Spectrogram 1	1	409.402971574	409.838294927	0.0	5798.3	5798.3	23.4	0.435	K
111	Spectrogram 1	1	411.579588339	412.823369347	0.0	5939.7	5939.7	23.4	1.244	O
112	Spectrogram 1	1	413.445259851	414.253717506	0.0	6364.0	6364.0	23.4	0.808	O
113	Spectrogram 1	1	414.751229909	416.430334270	0.0	6505.4	6505.4	23.4	1.679	R
114	Spectrogram 1	1	416.809431162	417.922871480	109.5	6222.5	6113.0	867.2	1.113	K
115	Spectrogram 1	1	420.348244446	421.529836404	0.0	6364.0	6364.0	23.4	1.182	O
116	Spectrogram 1	1	421.902970706	423.146751715	0.0	6788.2	6788.2	23.4	1.244	O
117	Spectrogram 1	1	423.830831269	425.385557529	0.0	7071.1	7071.1	23.4	1.555	R
118	Spectrogram 1	1	425.696502781	426.629338537	128.4	6929.6	6801.2	914.1	0.933	K
119	Spectrogram 1	1	429.427845806	430.422870612	0.0	7353.9	7353.9	23.4	0.995	O
120	Spectrogram 1	1	431.231328268	432.039785923	0.0	7636.8	7636.8	23.4	0.808	O
121	Spectrogram 1	1	432.537298326	434.465158889	0.0	6646.8	6646.8	23.4	1.928	R
122	Spectrogram 1	1	434.944018553	436.001232410	0.0	7022.3	7022.3	1640.6	1.057	K
123	Spectrogram 1	1	437.896019672	439.450745932	0.0	7664.1	7664.1	23.4	1.555	O
124	Spectrogram 1	1	440.134825486	440.632337890	0.0	7390.4	7390.4	23.4	0.498	O
125	Spectrogram 1	1	441.627362696	443.368656107	0.0	5885.0	5885.0	23.4	1.741	R
126	Spectrogram 1	1	443.679601360	444.736815216	90.7	5885.0	5794.3	867.2	1.057	K
127	Spectrogram 1	1	447.473133434	448.511300899	0.0	5474.4	5474.4	234.4	1.038	O
128	Spectrogram 1	1	449.152237795	449.960695451	0.0	6021.8	6021.8	23.4	0.808	O
129	Spectrogram 1	1	450.582585955	452.572635568	0.0	5474.4	5474.4	328.1	1.990	R
130	Spectrogram 1	1	452.945769870	453.940794677	71.9	5337.5	5265.6	890.6	0.995	K
131	Spectrogram 1	1	456.801490996	457.672137701	0.0	6158.7	6158.7	234.4	0.871	O
132	Spectrogram 1	1	458.542784407	459.351242062	0.0	5337.5	5337.5	23.4	0.808	O
133	Spectrogram 1	1	459.786565415	461.652236927	0.0	5474.4	5474.4	23.4	1.866	R
134	Spectrogram 1	1	462.149749331	463.269152238	0.0	4790.1	4790.1	23.4	1.119	K
135	Spectrogram 1	1	466.042527570	466.969980050	90.7	4653.2	4562.5	234.4	0.927	O
136	Spectrogram 1	1	467.808952918	468.617410573	0.0	5474.4	5474.4	23.4	0.808	O
137	Spectrogram 1	1	468.990544875	470.980594488	0.0	4516.4	4516.4	281.2	1.990	R
138	Spectrogram 1	1	471.291539741	472.535320749	0.0	4516.4	4516.4	23.4	1.244	K
139	Spectrogram 1	1	476.142285672	477.386066680	0.0	5337.5	5337.5	23.4	1.244	O
140	Spectrogram 1	1	478.816414840	480.433330150	0.0	4790.1	4790.1	328.1	1.617	R
141	Spectrogram 1	1	480.806464453	482.112434511	0.0	4379.5	4379.5	23.4	1.306	K
142	Spectrogram 1	1	485.284076082	486.900991393	0.0	5200.7	5200.7	23.4	1.617	O
143	Spectrogram 1	1	488.144772401	489.886065812	0.0	4105.8	4105.8	23.4	1.741	5
