Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	UNIT
108	Spectrogram 1	1	113.723337785	114.407861583	256.3	1509.1	0.685	1252.8	17
109	Spectrogram 1	1	116.626460113	116.894317251	825.7	2420.3	0.268	1594.6	X
110	Spectrogram 1	1	117.266341054	117.608602953	654.9	2477.2	0.342	1822.3	X
111	Spectrogram 1	1	117.846698187	118.203841038	626.4	2391.8	0.357	1765.4	X
112	Spectrogram 1	1	118.412174368	118.828841027	711.9	2477.2	0.417	1765.3	X
113	Spectrogram 1	1	119.007412453	119.260388639	683.4	2420.3	0.253	1736.9	X
114	Spectrogram 1	1	119.364555304	119.721698154	569.5	2448.8	0.357	1879.3	X
115	Spectrogram 1	1	120.123483862	120.540150521	569.5	2448.8	0.417	1879.3	X
116	Spectrogram 1	1	120.718721947	121.016340989	740.3	2448.8	0.298	1708.5	X
117	Spectrogram 1	1	121.343721936	121.566936218	768.8	2477.2	0.223	1708.4	X
118	Spectrogram 1	1	121.909198116	122.132412398	825.7	2448.8	0.223	1623.1	X
119	Spectrogram 1	1	122.430031441	122.831817148	996.6	2448.8	0.402	1452.2	X
120	Spectrogram 1	1	123.069912382	123.322888568	911.2	2448.8	0.253	1537.6	X
121	Spectrogram 1	1	123.605626658	123.873483797	825.7	2477.2	0.268	1651.5	X
123	Spectrogram 1	1	261.115375008	262.630603799	711.9	2534.2	1.515	1822.3	Z
124	Spectrogram 1	1	263.235449096	263.982541069	85.4	1509.1	0.747	1423.7	17
125	Spectrogram 1	1	265.971278856	266.686803563	199.3	1509.1	0.716	1309.8	17
126	Spectrogram 1	1	270.771351747	272.086654517	455.6	2534.2	1.315	2078.6	Z
127	Spectrogram 1	1	272.347861879	273.231745341	142.4	1480.7	0.884	1338.3	17
128	Spectrogram 1	1	275.957052679	276.798846452	142.4	1480.7	0.842	1338.3	17
129	Spectrogram 1	1	278.989361049	280.199439597	512.5	2534.2	1.210	2021.7	Z
130	Spectrogram 1	1	280.471168668	281.344529707	170.8	1480.7	0.873	1309.9	Y
131	Spectrogram 1	1	284.585433243	285.364092482	142.4	1452.2	0.779	1309.8	17
132	Spectrogram 1	1	286.679395252	286.805664318	142.4	1537.6	0.126	1395.2	19
133	Spectrogram 1	1	286.826709162	287.605368402	113.9	1537.6	0.779	1423.7	17
134	Spectrogram 1	1	288.522670290	289.816928215	598.0	2534.2	1.294	1936.2	Z
135	Spectrogram 1	1	290.362237318	290.509551228	199.3	1480.7	0.147	1281.4	19
136	Spectrogram 1	1	290.541118494	291.256643201	142.4	1509.1	0.716	1366.7	17
137	Spectrogram 1	1	295.065760022	295.213073932	170.8	1509.1	0.147	1338.3	19
138	Spectrogram 1	1	295.286730887	296.181136770	113.9	1509.1	0.894	1395.2	17
139	Spectrogram 1	1	297.898138483	299.202918830	654.9	2505.7	1.305	1850.8	Z
140	Spectrogram 1	1	299.653530991	300.537414452	113.9	1509.1	0.884	1395.2	Y
141	Spectrogram 1	1	302.084210509	302.189434731	113.9	1509.1	0.105	1395.2	19
142	Spectrogram 1	1	302.210479575	302.957571548	85.4	1480.7	0.747	1395.3	17
143	Spectrogram 1	1	303.809887743	303.967724075	142.4	1480.7	0.158	1338.3	19
144	Spectrogram 1	1	303.988768920	304.567502138	85.4	1452.2	0.579	1366.8	17
145	Spectrogram 1	1	306.252937385	307.641897110	455.6	2505.7	1.389	2050.1	Z
146	Spectrogram 1	1	308.597581648	308.744895558	142.4	1480.7	0.147	1338.3	19
147	Spectrogram 1	1	308.765940403	309.355196043	170.8	1480.7	0.589	1309.9	17
148	Spectrogram 1	1	311.364978675	311.501770163	142.4	1509.1	0.137	1366.7	19
149	Spectrogram 1	1	311.543859852	312.112070648	113.9	1452.2	0.568	1338.3	17
150	Spectrogram 1	1	313.702808041	315.102290188	626.4	2477.2	1.399	1850.8	Z
151	Spectrogram 1	1	315.205662762	315.384543939	113.9	1480.7	0.179	1366.8	19
152	Spectrogram 1	1	315.405588783	315.994844424	113.9	1423.7	0.589	1309.8	17
153	Spectrogram 1	1	317.068131484	317.836268301	113.9	1452.2	0.768	1338.3	Y
154	Spectrogram 1	1	318.682446093	319.871479797	598.0	2534.2	1.189	1936.2	Z
155	Spectrogram 1	1	320.214334675	320.372171007	56.9	1509.1	0.158	1452.2	19
156	Spectrogram 1	1	320.414260696	321.066650870	113.9	1452.2	0.652	1338.3	17
157	Spectrogram 1	1	321.792697998	321.950534331	142.4	1480.7	0.158	1338.3	19
158	Spectrogram 1	1	321.961056753	322.645014193	113.9	1452.2	0.684	1338.3	17
159	Spectrogram 1	1	324.006791705	325.353661741	654.9	2477.2	1.347	1822.3	Z
160	Spectrogram 1	1	325.549202708	325.675471774	113.9	1509.1	0.126	1395.2	19
161	Spectrogram 1	1	325.696516619	326.359429214	113.9	1480.7	0.663	1366.8	17
162	Spectrogram 1	1	328.994418859	330.509647650	512.5	2505.7	1.515	1993.2	Z
163	Spectrogram 1	1	331.420712290	331.578548623	113.9	1480.7	0.158	1366.8	18
164	Spectrogram 1	1	331.652205578	332.115192153	113.9	1452.2	0.463	1338.3	17
165	Spectrogram 1	1	334.209154162	334.356468072	85.4	1509.1	0.147	1423.7	19
166	Spectrogram 1	1	334.419602605	334.872066758	113.9	1509.1	0.452	1395.2	17
167	Spectrogram 1	1	336.065485601	337.717505879	484.1	2448.8	1.652	1964.7	Z
168	Spectrogram 1	1	338.523347246	338.691706000	56.9	1509.1	0.168	1452.2	19
169	Spectrogram 1	1	338.723273267	339.259916797	113.9	1480.7	0.537	1366.8	17
170	Spectrogram 1	1	342.132537242	342.279851152	113.9	1509.1	0.147	1395.2	19
171	Spectrogram 1	1	342.290373574	342.816494682	113.9	1480.7	0.526	1366.8	17
172	Spectrogram 1	1	343.904689246	345.704023434	284.7	2534.2	1.799	2249.5	Z
173	Spectrogram 1	1	345.962697988	346.173146431	170.8	1480.7	0.210	1309.9	19
174	Spectrogram 1	1	346.183668853	346.888671137	170.8	1452.2	0.705	1281.4	17
175	Spectrogram 1	1	349.866516608	350.571518892	142.4	1509.1	0.705	1366.7	17
176	Spectrogram 1	1	351.922773838	353.806287404	398.6	2505.7	1.884	2107.1	Z
177	Spectrogram 1	1	354.685785295	355.348697891	113.9	1480.7	0.663	1366.8	Y
178	Spectrogram 1	1	356.369372840	356.727135193	142.4	1509.1	0.358	1366.7	17
179	Spectrogram 1	1	357.531224158	358.993840838	512.5	2562.7	1.463	2050.2	Z
180	Spectrogram 1	1	359.410351953	360.031174860	113.9	1480.7	0.621	1366.8	Y
181	Spectrogram 1	1	363.698080788	364.466217606	113.9	1452.2	0.768	1338.3	Y
182	Spectrogram 1	1	365.886025485	368.064166872	455.6	2619.6	2.178	2164.0	Z
183	Spectrogram 1	1	368.317423083	368.454214571	170.8	1509.1	0.137	1338.3	19
184	Spectrogram 1	1	368.496304259	369.032947789	113.9	1509.1	0.537	1395.2	17
