Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	UNIT
54	Spectrogram 1	1	167.890170612	169.812289406	65.8	4670.2	4604.4	1.922	344.5	D2
55	Spectrogram 1	1	171.703249073	175.722224733	0.0	6512.0	6512.0	4.019	344.5	O
56	Spectrogram 1	1	176.858022202	178.081188707	0.0	4801.7	4801.7	1.223	236.9	D2
57	Spectrogram 1	1	178.780140996	179.566462321	0.0	4209.8	4209.8	0.786	215.3	D2
58	Spectrogram 1	1	179.915938465	181.139104970	0.0	3946.6	3946.6	1.223	215.3	D2
59	Spectrogram 1	1	180.876997862	182.537009548	0.0	4341.3	4341.3	1.660	193.8	D2
60	Spectrogram 1	1	185.760123065	189.516991617	0.0	6643.5	6643.5	3.757	387.6	O
61	Spectrogram 1	1	190.434974879	191.135985491	752.2	4633.8	3881.6	0.701	1335.1	6
62	Spectrogram 1	1	191.846446727	192.618687201	692.1	5416.1	4724.0	0.772	1378.1	6
63	Spectrogram 1	1	193.051141866	193.946940815	601.8	5205.5	4603.7	0.896	1658.1	6
64	Spectrogram 1	1	197.991788117	202.098132813	131.6	6446.2	6314.6	4.106	387.6	O
65	Spectrogram 1	1	203.035354269	203.776705124	571.7	6288.7	5717.0	0.741	1485.8	6
66	Spectrogram 1	1	204.456276741	205.166737976	692.1	5807.3	5115.2	0.710	2562.5	6
67	Spectrogram 1	1	205.104958738	205.908088831	481.4	5957.8	5476.4	0.803	1119.7	6
68	Spectrogram 1	1	206.031647307	206.587660448	541.6	5927.7	5386.1	0.556	1528.9	6
69	Spectrogram 1	1	206.742108542	207.236342445	752.2	5747.1	4994.9	0.494	1765.7	6
70	Spectrogram 1	1	207.483459397	208.163031014	451.3	5476.3	5025.0	0.680	3294.6	6
71	Spectrogram 1	1	211.271881603	214.854012082	0.0	6248.9	6248.9	3.582	366.1	O
72	Spectrogram 1	1	216.228052845	216.753176367	481.4	5867.5	5386.1	0.525	1464.3	6
73	Spectrogram 1	1	217.216520652	217.834313030	662.0	5295.8	4633.8	0.618	1485.8	6
74	Spectrogram 1	1	217.741644174	218.328546933	932.8	5295.8	4363.0	0.587	1636.5	6
75	Spectrogram 1	1	218.575663885	219.100787407	962.9	4874.5	3911.6	0.525	3402.2	6
76	Spectrogram 1	1	219.317014740	219.687690167	872.6	4934.7	4062.1	0.371	1528.9	6
77	Spectrogram 1	1	220.027475975	220.583489116	1745.2	4904.6	3159.4	0.556	2239.5	6
78	Spectrogram 1	1	220.490820259	221.046833400	541.6	5055.1	4513.5	0.556	1421.2	6
79	Spectrogram 1	1	221.263060733	221.973521969	601.8	4904.6	4302.8	0.710	1528.9	6
80	Spectrogram 1	1	225.862510630	228.658319784	0.0	5525.3	5525.3	2.796	366.1	O
81	Spectrogram 1	1	230.111302032	230.460778176	948.7	5481.2	4532.5	0.349	1744.2	6
82	Spectrogram 1	1	230.875781097	231.181572724	843.3	4743.3	3900.0	0.306	1270.5	6
83	Spectrogram 1	1	231.749471458	232.033420825	948.7	5112.3	4163.6	0.284	1184.3	6
84	Spectrogram 1	1	232.382896970	232.819742150	948.7	5375.8	4427.1	0.437	1442.7	6
85	Spectrogram 1	1	233.060007000	233.343956367	1054.1	5375.8	4321.7	0.284	1421.2	6
86	Spectrogram 1	1	233.758959288	234.152119951	948.7	5586.6	4637.9	0.393	1421.2	6
87	Spectrogram 1	1	234.370542541	234.829229980	1212.2	5850.1	4637.9	0.459	1507.3	6
88	Spectrogram 1	1	237.496790586	240.365770620	0.0	6380.4	6380.4	2.869	430.7	I
89	Spectrogram 1	1	243.322630267	246.293177494	0.0	5064.9	5064.9	2.971	21.5	O
90	Spectrogram 1	1	246.361942744	246.711418888	1054.1	5165.0	4110.9	0.349	1615.0	6
91	Spectrogram 1	1	247.104579551	247.388528918	896.0	5165.0	4269.0	0.284	1507.3	6
92	Spectrogram 1	1	248.021954430	248.196692502	1001.4	5165.0	4163.6	0.175	1485.8	6
93	Spectrogram 1	1	248.633537682	248.873802532	1317.6	5112.3	3794.7	0.240	1765.7	6
94	Spectrogram 1	1	249.419859007	249.725650634	1001.4	5270.4	4269.0	0.306	1851.9	6
95	Spectrogram 1	1	250.053284519	250.293549368	1212.2	5270.4	4058.2	0.240	1744.2	6
96	Spectrogram 1	1	251.990780544	255.485541987	0.0	4801.7	4801.7	3.495	387.6	I
97	Spectrogram 1	1	256.271863312	258.980303431	0.0	4670.2	4670.2	2.708	172.3	I
98	Spectrogram 1	1	262.475064874	265.358243065	0.0	5196.4	5196.4	2.883	387.6	O
99	Spectrogram 1	1	267.979314148	270.949861375	0.0	4538.6	4538.6	2.971	344.5	I
100	Spectrogram 1	1	271.561444628	274.477061320	0.0	4670.2	4670.2	2.916	323.0	I
101	Spectrogram 1	1	278.288860406	280.735193417	0.0	4341.3	4341.3	2.446	344.5	O
102	Spectrogram 1	1	282.786680535	285.802597510	0.0	4933.3	4933.3	3.016	323.0	I
103	Spectrogram 1	1	286.501549799	289.646835098	0.0	5064.9	5064.9	3.145	279.9	I
104	Spectrogram 1	1	293.141596542	295.675298588	65.8	5656.9	5591.1	2.534	344.5	O
105	Spectrogram 1	1	297.335310274	300.273546384	0.0	5920.0	5920.0	2.938	150.7	I
106	Spectrogram 1	1	301.291183988	304.318366645	0.0	5717.0	5717.0	3.027	150.7	I
107	Spectrogram 1	1	308.135947630	310.483558669	0.0	6017.9	6017.9	2.348	344.5	O
108	Spectrogram 1	1	313.036173351	315.220399254	0.0	6775.1	6775.1	2.184	150.7	I
109	Spectrogram 1	1	316.071768109	319.224947708	0.0	6222.5	6222.5	3.153	129.2	I
110	Spectrogram 1	1	322.297291177	325.617314548	0.0	6314.6	6314.6	3.320	366.1	O
111	Spectrogram 1	1	328.500492739	330.509980569	0.0	5854.2	5854.2	2.009	150.7	I
112	Spectrogram 1	1	331.558409002	334.354218157	0.0	5722.6	5722.6	2.796	1981.1	I
113	Spectrogram 1	1	337.848979601	341.343741044	0.0	5459.5	5459.5	3.495	366.1	O
114	Spectrogram 1	1	342.392169477	345.450085740	0.0	5393.7	5393.7	3.058	21.5	I
115	Spectrogram 1	1	346.236407065	349.381692364	0.0	5262.2	5262.2	3.145	21.5	I
116	Spectrogram 1	1	352.614346700	356.371215252	0.0	4736.0	4736.0	3.757	387.6	O
117	Spectrogram 1	1	358.512689645	360.739667056	0.0	5064.9	5064.9	2.227	21.5	A2
118	Spectrogram 1	1	361.525988381	364.321797536	0.0	5656.9	5656.9	2.796	21.5	A2
119	Spectrogram 1	1	367.816558979	370.874475242	0.0	5393.7	5393.7	3.058	387.6	O
120	Spectrogram 1	1	373.582915361	375.330296083	0.0	4472.9	4472.9	1.747	21.5	A2
121	Spectrogram 1	1	376.378724516	378.650319454	0.0	4999.1	4999.1	2.272	21.5	A2
122	Spectrogram 1	1	381.657628122	385.501865710	0.0	3354.6	3354.6	3.844	21.5	O
123	Spectrogram 1	1	387.828071914	391.148095285	0.0	4801.7	4801.7	3.320	21.5	A2
124	Spectrogram 1	1	391.672309502	393.769166368	0.0	3946.6	3946.6	2.097	21.5	A2
125	Spectrogram 1	1	397.471423654	400.791447026	131.6	3946.6	3815.0	3.320	323.0	O
126	Spectrogram 1	1	403.030284193	404.952402987	0.0	4012.4	4012.4	1.922	21.5	A2
127	Spectrogram 1	1	406.175569493	408.185057323	0.0	4144.0	4144.0	2.009	21.5	A2
128	Spectrogram 1	1	413.110481114	416.779980630	65.8	3354.6	3288.8	3.669	323.0	O
129	Spectrogram 1	1	417.533544184	421.028305628	0.0	3749.3	3749.3	3.495	21.5	A2
130	Spectrogram 1	1	421.727257916	424.959912252	0.0	4472.9	4472.9	3.233	0.0	A2
131	Spectrogram 1	1	428.050586285	431.807454837	0.0	3420.4	3420.4	3.757	21.5	O
132	Spectrogram 1	1	433.784184897	435.793672727	0.0	4341.3	4341.3	2.009	21.5	A2
133	Spectrogram 1	1	437.715791521	440.074755495	0.0	3749.3	3749.3	2.359	21.5	A2
134	Spectrogram 1	1	444.650703142	447.795988442	0.0	3946.6	3946.6	3.145	21.5	O
135	Spectrogram 1	1	450.122194645	452.481158620	0.0	4144.0	4144.0	2.359	21.5	A2
136	Spectrogram 1	1	453.442218017	456.325396208	0.0	3617.8	3617.8	2.883	21.5	A2
137	Spectrogram 1	1	459.590808314	462.998200721	0.0	3025.8	3025.8	3.407	21.5	O
138	Spectrogram 1	1	464.450716564	467.333894755	0.0	3880.9	3880.9	2.883	21.5	A2
139	Spectrogram 1	1	467.683370899	471.877084632	197.3	3683.5	3486.2	4.194	387.6	A2
140	Spectrogram 1	1	474.443409207	477.676063542	65.8	3617.8	3552.0	3.233	387.6	O
141	Spectrogram 1	1	480.471872697	482.743467635	0.0	3420.4	3420.4	2.272	21.5	A2
142	Spectrogram 1	1	488.072978837	490.781418956	0.0	3486.2	3486.2	2.708	21.5	E
143	Spectrogram 1	1	491.043526064	493.577228111	0.0	3617.8	3617.8	2.534	21.5	E
144	Spectrogram 1	1	496.856168871	497.380383088	30.1	2798.3	2768.2	0.524	43.1	D2
145	Spectrogram 1	1	498.341442485	499.651978026	0.0	2497.4	2497.4	1.311	21.5	D2
146	Spectrogram 1	1	501.615179431	503.624667261	0.0	3946.6	3946.6	2.009	21.5	E
147	Spectrogram 1	1	504.498357622	505.634155091	0.0	3880.9	3880.9	1.136	301.5	E
148	Spectrogram 1	1	510.048893321	511.446797898	0.0	2136.4	2136.4	1.398	21.5	D2
149	Spectrogram 1	1	512.669964403	513.718392836	0.0	2076.2	2076.2	1.048	21.5	D2
150	Spectrogram 1	1	514.283689664	515.856332313	0.0	3880.9	3880.9	1.573	21.5	E
151	Spectrogram 1	1	516.904760746	519.001617612	0.0	4012.4	4012.4	2.097	21.5	E
152	Spectrogram 1	1	520.096332471	521.144760904	0.0	2407.2	2407.2	1.048	21.5	D2
153	Spectrogram 1	1	521.931082229	522.804772590	0.0	2016.0	2016.0	0.874	21.5	D2
154	Spectrogram 1	1	527.190169563	529.461764501	0.0	3460.3	3460.3	2.272	21.5	E
155	Spectrogram 1	1	530.073347754	532.082835584	0.0	3370.0	3370.0	2.009	21.5	E
156	Spectrogram 1	1	536.871187400	537.657508725	0.0	1745.2	1745.2	0.786	21.5	D2
157	Spectrogram 1	1	540.994477265	543.091334131	0.0	3340.0	3340.0	2.097	21.5	E
158	Spectrogram 1	1	543.877655456	546.061881358	0.0	3099.2	3099.2	2.184	21.5	E
159	Spectrogram 1	1	547.530209803	548.840745344	0.0	1985.9	1985.9	1.311	21.5	D2
160	Spectrogram 1	1	549.190221489	549.889173777	0.0	1775.3	1775.3	0.699	21.5	D2
161	Spectrogram 1	1	550.326018958	551.287078355	0.0	1654.9	1654.9	0.961	21.5	D2
162	Spectrogram 1	1	554.624046895	556.021951473	0.0	3099.2	3099.2	1.398	21.5	E
163	Spectrogram 1	1	556.720903761	558.380915447	0.0	3009.0	3009.0	1.660	21.5	E
164	Spectrogram 1	1	562.994529191	564.567171840	0.0	2527.5	2527.5	1.573	21.5	D2
165	Spectrogram 1	1	565.353493165	566.314552562	0.0	2347.0	2347.0	0.961	21.5	D2
166	Spectrogram 1	1	566.244128695	568.428354597	0.0	3400.1	3400.1	2.184	21.5	E
167	Spectrogram 1	1	568.777830742	571.133263496	0.0	3309.9	3309.9	2.355	21.5	E
168	Spectrogram 1	1	571.239166115	573.860237197	0.0	2918.7	2918.7	2.621	21.5	D2
169	Spectrogram 1	1	575.782355991	576.743415388	0.0	2256.7	2256.7	0.961	21.5	D2
170	Spectrogram 1	1	577.966581893	578.840272254	60.2	2617.8	2557.6	0.874	129.2	D2
171	Spectrogram 1	1	579.164564421	580.832603844	0.0	3159.4	3159.4	1.668	21.5	E
172	Spectrogram 1	1	581.225751519	583.388024845	0.0	3039.1	3039.1	2.162	21.5	E
173	Spectrogram 1	1	585.130842853	586.441378394	0.0	2316.9	2316.9	1.311	21.5	D2
174	Spectrogram 1	1	587.052961647	588.800342368	0.0	2497.4	2497.4	1.747	21.5	D2
175	Spectrogram 1	1	589.499294657	590.984568271	0.0	2557.6	2557.6	1.485	21.5	D2
176	Spectrogram 1	1	592.654910528	594.322949951	0.0	3189.5	3189.5	1.668	21.5	E
177	Spectrogram 1	1	594.817183854	596.979457180	0.0	3400.1	3400.1	2.162	21.5	E
178	Spectrogram 1	1	598.498305374	599.459364771	0.0	2557.6	2557.6	0.961	21.5	D2
179	Spectrogram 1	1	600.245686096	600.857269349	0.0	2437.3	2437.3	0.612	21.5	D2
180	Spectrogram 1	1	601.294114529	602.080435854	0.0	2377.1	2377.1	0.786	21.5	D2
181	Spectrogram 1	1	605.072537343	607.420148382	0.0	3761.2	3761.2	2.348	21.5	E
182	Spectrogram 1	1	607.667265334	610.261993325	0.0	3791.3	3791.3	2.595	21.5	E
183	Spectrogram 1	1	611.230216056	612.280463100	0.0	2738.2	2738.2	1.050	21.5	D2
184	Spectrogram 1	1	612.651138527	613.763164809	0.0	2678.0	2678.0	1.112	409.1	D2
185	Spectrogram 1	1	614.319177950	615.307645756	0.0	2617.8	2617.8	0.988	21.5	D2
186	Spectrogram 1	1	618.568324420	623.049643144	0.0	3460.3	3460.3	4.481	21.5	O
187	Spectrogram 1	1	623.586063633	624.389193725	0.0	2858.5	2858.5	0.803	21.5	D2
188	Spectrogram 1	1	625.254103056	626.057233148	0.0	2587.7	2587.7	0.803	21.5	D2
189	Spectrogram 1	1	626.798584003	627.848831047	0.0	2798.3	2798.3	1.050	172.3	D2
190	Spectrogram 1	1	627.972389523	628.651961139	0.0	2888.6	2888.6	0.680	172.3	D2
191	Spectrogram 1	1	628.960857329	630.196442086	0.0	2708.1	2708.1	1.236	21.5	D2
192	Spectrogram 1	1	632.810762730	636.393958528	0.0	3791.3	3791.3	3.583	21.5	O
193	Spectrogram 1	1	637.883011531	639.056817051	0.0	2888.6	2888.6	1.174	21.5	D2
194	Spectrogram 1	1	639.365713240	640.107064095	0.0	2798.3	2798.3	0.741	172.3	D2
195	Spectrogram 1	1	640.724856474	641.527986566	0.0	2557.6	2557.6	0.803	172.3	D2
196	Spectrogram 1	1	641.898661993	643.072467513	0.0	2647.9	2647.9	1.174	172.3	D2
197	Spectrogram 1	1	643.196025989	644.122714557	0.0	2527.5	2527.5	0.927	193.8	D2
198	Spectrogram 1	1	646.587532778	651.591651047	0.0	4182.5	4182.5	5.004	387.6	O
199	Spectrogram 1	1	653.212318637	655.251033488	0.0	3400.1	3400.1	2.039	21.5	A1
200	Spectrogram 1	1	655.683488153	659.143125474	0.0	3400.1	3400.1	3.460	21.5	A1
201	Spectrogram 1	1	661.445359948	666.862240186	0.0	4092.2	4092.2	5.417	344.5	O
202	Spectrogram 1	1	667.853998016	670.510505245	0.0	2738.2	2738.2	2.657	21.5	A1
203	Spectrogram 1	1	671.251856100	674.526155708	0.0	3309.9	3309.9	3.274	21.5	A1
204	Spectrogram 1	1	677.958107769	681.365500177	0.0	4182.5	4182.5	3.407	21.5	O
205	Spectrogram 1	1	682.596641938	686.056279259	0.0	3731.1	3731.1	3.460	21.5	A1
206	Spectrogram 1	1	686.118058497	690.133708960	0.0	3731.1	3731.1	4.016	21.5	A1
207	Spectrogram 1	1	691.849784507	697.266664745	0.0	4122.3	4122.3	5.417	344.5	O
208	Spectrogram 1	1	698.597464550	701.315751017	0.0	3159.4	3159.4	2.718	21.5	A1
209	Spectrogram 1	1	701.501088730	704.898946814	0.0	3971.8	3971.8	3.398	21.5	A1
210	Spectrogram 1	1	708.275163292	712.032031844	0.0	4212.6	4212.6	3.757	21.5	O
211	Spectrogram 1	1	713.548040118	717.069456677	0.0	3851.5	3851.5	3.521	21.5	A1
212	Spectrogram 1	1	716.884118964	720.714431712	0.0	4182.5	4182.5	3.830	21.5	A1
213	Spectrogram 1	1	723.627688680	727.297188196	90.3	4182.5	4092.2	3.669	344.5	O
214	Spectrogram 1	1	729.192872243	731.639205254	0.0	3279.8	3279.8	2.446	21.5	A1
215	Spectrogram 1	1	732.600264651	735.483442842	0.0	3490.4	3490.4	2.883	21.5	A1
216	Spectrogram 1	1	739.528853249	742.499400476	0.0	4663.9	4663.9	2.971	21.5	O
217	Spectrogram 1	1	743.783501270	747.365631750	0.0	3189.5	3189.5	3.582	21.5	A1
218	Spectrogram 1	1	748.326691147	750.685655121	0.0	3640.8	3640.8	2.359	21.5	A1
219	Spectrogram 1	1	755.604755889	758.662672152	30.1	4092.2	4062.1	3.058	344.5	O
220	Spectrogram 1	1	759.772034875	762.480474993	0.0	3249.7	3249.7	2.708	21.5	A1
221	Spectrogram 1	1	763.207061921	764.867073607	0.0	3309.9	3309.9	1.660	21.5	A1
222	Spectrogram 1	1	765.303918787	766.002871076	0.0	2678.0	2678.0	0.699	21.5	V
223	Spectrogram 1	1	766.614454329	767.385537570	0.0	2407.2	2407.2	0.771	21.5	V
224	Spectrogram 1	1	770.195384916	773.515408287	0.0	4603.7	4603.7	3.320	21.5	O
225	Spectrogram 1	1	774.215560468	777.098738659	0.0	2978.9	2978.9	2.883	21.5	A1
226	Spectrogram 1	1	777.710321912	779.282964561	0.0	2798.3	2798.3	1.573	21.5	A1
227	Spectrogram 1	1	779.894547814	780.467494159	0.0	2587.7	2587.7	0.573	21.5	V
228	Spectrogram 1	1	781.292452392	781.824636845	0.0	2617.8	2617.8	0.532	21.5	V
229	Spectrogram 1	1	785.397597196	788.542882495	0.0	4694.0	4694.0	3.145	344.5	O
230	Spectrogram 1	1	790.029136797	791.601779446	0.0	2738.2	2738.2	1.573	21.5	A1
231	Spectrogram 1	1	792.475469807	793.265624466	0.0	2828.4	2828.4	0.790	21.5	V
232	Spectrogram 1	1	793.960743421	795.096540890	0.0	2587.7	2587.7	1.136	21.5	V
233	Spectrogram 1	1	795.183909926	796.033481260	0.0	2738.2	2738.2	0.850	21.5	V
234	Spectrogram 1	1	799.377623658	803.047123174	0.0	4694.0	4694.0	3.669	21.5	O
235	Spectrogram 1	1	804.707134860	805.763229961	0.0	2647.9	2647.9	1.056	21.5	V
236	Spectrogram 1	1	806.716622690	807.584658303	0.0	2708.1	2708.1	0.868	64.6	V
237	Spectrogram 1	1	808.464003411	809.120372395	0.0	2738.2	2738.2	0.656	21.5	V
238	Spectrogram 1	1	811.784026783	814.405097865	0.0	4332.9	4332.9	2.621	21.5	E
239	Spectrogram 1	1	815.191419190	817.725121237	0.0	4724.1	4724.1	2.534	21.5	E
240	Spectrogram 1	1	818.948287742	820.346192320	0.0	2557.6	2557.6	1.398	150.7	D2
241	Spectrogram 1	1	820.695668464	822.530418222	90.3	2798.3	2708.0	1.835	279.9	D2
242	Spectrogram 1	1	824.976751232	827.423084243	0.0	4483.4	4483.4	2.446	602.9	E
243	Spectrogram 1	1	827.685191351	830.655738578	0.0	4363.0	4363.0	2.971	495.3	E
244	Spectrogram 1	1	831.966274119	833.276809661	0.0	3911.7	3911.7	1.311	21.5	D2
245	Spectrogram 1	1	833.102071589	834.674714238	0.0	3610.8	3610.8	1.573	21.5	D2
246	Spectrogram 1	1	834.849452310	836.422094960	0.0	4272.7	4272.7	1.573	279.9	D2
247	Spectrogram 1	1	839.102521070	841.636223116	0.0	4242.6	4242.6	2.534	21.5	E
248	Spectrogram 1	1	841.985699261	844.606770343	0.0	4453.3	4453.3	2.621	21.5	E
249	Spectrogram 1	1	846.179412993	847.053103354	0.0	2768.2	2768.2	0.874	21.5	D2
250	Spectrogram 1	1	847.315210462	848.538376967	30.1	2948.8	2918.7	1.223	430.7	D2
251	Spectrogram 1	1	848.451007931	850.285757689	0.0	2888.6	2888.6	1.835	279.9	D2
252	Spectrogram 1	1	852.295245519	855.091054674	0.0	4453.3	4453.3	2.796	21.5	E
253	Spectrogram 1	1	855.615268891	857.537387685	0.0	4483.4	4483.4	1.922	559.9	E
254	Spectrogram 1	1	859.022661298	860.071089731	0.0	3129.3	3129.3	1.048	279.9	D2
255	Spectrogram 1	1	860.245827803	861.381625273	0.0	3340.0	3340.0	1.136	21.5	D2
256	Spectrogram 1	1	861.731101417	862.517422742	0.0	3279.8	3279.8	0.786	279.9	D2
257	Spectrogram 1	1	863.129005994	864.090065391	0.0	3490.4	3490.4	0.961	301.5	D2
258	Spectrogram 1	1	867.060612618	869.419576593	0.0	4483.4	4483.4	2.359	430.7	E
259	Spectrogram 1	1	869.943790809	871.603802495	0.0	4453.3	4453.3	1.660	495.3	E
260	Spectrogram 1	1	873.438552253	874.137504542	0.0	3400.1	3400.1	0.699	495.3	D2
261	Spectrogram 1	1	874.923825866	875.710147191	0.0	3309.9	3309.9	0.786	279.9	D2
262	Spectrogram 1	1	875.972254299	876.933313696	0.0	3159.4	3159.4	0.961	301.5	D2
263	Spectrogram 1	1	877.020682733	878.942801527	0.0	3249.7	3249.7	1.922	301.5	D2
264	Spectrogram 1	1	880.691382140	884.448250692	0.0	4603.7	4603.7	3.757	21.5	O
265	Spectrogram 1	1	885.320741161	886.806014775	0.0	3340.0	3340.0	1.485	430.7	D2
266	Spectrogram 1	1	887.068121883	887.767074172	0.0	3430.2	3430.2	0.699	301.5	D2
267	Spectrogram 1	1	888.291288388	889.514454893	0.0	3550.6	3550.6	1.223	301.5	D2
268	Spectrogram 1	1	889.077609713	890.475514290	0.0	3791.3	3791.3	1.398	430.7	D2
269	Spectrogram 1	1	890.562883326	891.786049832	0.0	3520.5	3520.5	1.223	301.5	D2
270	Spectrogram 1	1	893.709368518	898.864141647	120.4	5265.7	5145.3	5.155	387.6	O
